relationship,threshold,horizon_s,trades,wins,win_rate,mean_pnl_per_share,median_pnl_per_share,total_pnl_5_shares,mean_return_on_cost
cross-tournament strength signal,0.03,10,1,0,0.0,-0.019999980926513672,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
cross-tournament strength signal,0.03,30,2,0,0.0,-0.019999980926513672,-0.019999980926513672,-0.19999980926513672,-0.03571425150243618
cross-tournament strength signal,0.03,60,3,0,0.0,-0.019999980926513672,-0.019999980926513672,-0.2999997138977051,-0.03571425150243618
cross-tournament strength signal,0.03,300,2,0,0.0,-0.019999980926513672,-0.019999980926513672,-0.19999980926513672,-0.03571425150243618
cross-tournament strength signal,0.05,30,3,0,0.0,-0.02333333094914754,-0.019999980926513672,-0.34999996423721313,-0.0423280379166372
cross-tournament strength signal,0.05,60,3,0,0.0,-0.02333335081736247,-0.020000040531158447,-0.350000262260437,-0.042768990956830254
cross-tournament strength signal,0.05,300,1,0,0.0,-0.019999980926513672,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
