scheme,bets,final_x,total_return,max_dd,ruined,boot_median_return,boot_p5,boot_p95,p_profit,p_ruin,median_max_dd
flat_stake,2656,1.949412963412252,0.9494129634122519,0.24669164559930704,False,0.9637195308370253,-0.07181826925069937,1.9568470984706499,0.9425,0.0,0.28262449505149134
flat,2656,2.1426388562910508,1.1426388562910508,0.41676278453778876,False,1.1844212900724296,-0.22251562814195108,4.881420776374822,0.9175,0.0,0.3547537559719852
tenth_kelly,2656,4.55983056739809,3.55983056739809,0.24699347704775024,False,3.7016129775240576,0.7557738576247791,13.209901241327788,0.9925,0.0,0.26999442682492414
quarter_kelly,2656,14.802621127930436,13.802621127930436,0.543057831342266,False,14.68761038660649,0.5656232657883954,187.86985375193896,0.97,0.0,0.5806722551351875
half_kelly,2656,5.564597225991326,4.564597225991326,0.8920051458776004,False,5.621905433616783,-0.8582577383705057,287.3661942508078,0.805,0.0075,0.8491881668079571
full_kelly,2656,1.6227505340136952,0.6227505340136952,0.966368416499043,False,0.6803987808122298,-0.9900902055538622,172.4692120614369,0.5875,0.0575,0.9321089201241957
