n,winrate,logloss,brier,auc,cal_slope,mean_p,n_odds,winrate_odds_games,mkt_winrate,logloss_vs_mkt,corr_with_mkt,bet_bets,bet_bet_rate,bet_bet_winrate,bet_flat_roi,bet_flat_pnl,bet_kelly_roi,bet_kelly_growth,bet_avg_dec,model,season,train_games
271,0.6531365313653137,0.6409851518636476,0.22522449227650607,0.6760485651214128,0.9134968786584815,0.5421577903157875,271,0.6531365313653137,0.6642066420664207,0.03352792393586024,0.8182946357416476,182,0.6715867158671587,0.34065934065934067,-0.1911291855184675,-34.78551176436108,-0.1563696546543599,-0.6802670635559669,2.889235888760311,elo,2022,1552
271,0.6642066420664207,0.6074572279277873,0.21039037253948234,0.7260209713024283,1.1487734349593652,0.5490651686334899,271,0.6642066420664207,0.6642066420664207,0.0,0.9999999999999999,0,,,,,,,,market,2022,1552
271,0.5793357933579336,0.6579718002637174,0.2334736701803796,0.6196467991169978,0.9993247292239211,0.538123675763528,271,0.5793357933579336,0.6642066420664207,0.05051457233593004,0.6583223219578286,220,0.8118081180811808,0.32272727272727275,-0.13731310956642448,-30.208884104613386,-0.11830289182895312,-0.7016053371111352,3.157835528594724,log5_wpct,2022,1552
271,0.6420664206642066,0.6391471466994572,0.22396195707899197,0.6821743929359824,1.0640807861489647,0.5460323206921419,271,0.6420664206642066,0.6642066420664207,0.03168991877166982,0.8250662491172597,191,0.7047970479704797,0.3193717277486911,-0.14714857261902395,-28.105377370233573,-0.15529408996670982,-0.6646569448116216,3.125928219377418,logit_l2,2022,1552
271,0.6531365313653137,0.6349358950222299,0.22199816836820335,0.6821743929359823,0.9502395325172686,0.539422610711332,271,0.6531365313653137,0.6642066420664207,0.027478667094442577,0.7907345395943169,200,0.7380073800738007,0.37,-0.14972839936191154,-29.945679872382307,-0.0928021058648684,-0.5575150317393989,2.873618763557847,lightgbm,2022,1552
271,0.6346863468634686,0.6359654031798393,0.22260229164051432,0.6846026490066226,1.0256186387325814,0.5432064980222786,271,0.6346863468634686,0.6642066420664207,0.02850817525205196,0.8209244780031673,191,0.7047970479704797,0.33507853403141363,-0.1855108100066616,-35.43256471127236,-0.11695111296756995,-0.5976099243666075,2.99243293834164,random_forest,2022,1552
271,0.6199261992619927,0.6451287721606451,0.2264534028627271,0.6725717439293598,0.8970526651024837,0.5575950146430827,271,0.6199261992619927,0.6642066420664207,0.03767154423285779,0.7956167753668694,191,0.7047970479704797,0.3403141361256545,-0.2058688552129949,-39.320951345682026,-0.12338294343128986,-0.626616590095185,2.934053761525616,mlp,2022,1552
271,0.6420664206642066,0.6366268655967428,0.22310173364900485,0.6834988962472407,1.0708956780545391,0.5352160760215919,271,0.6420664206642066,0.6642066420664207,0.029169637668955417,0.8166009982730803,199,0.7343173431734318,0.3065326633165829,-0.19553229895229146,-38.910927491506,-0.1506613967300849,-0.6718974450644779,3.054505972035121,gbm_elo_offset,2022,1552
271,0.6383763837638377,0.6399199116813523,0.22443433633608467,0.6768211920529801,1.0806877995139779,0.5487942828027876,271,0.6383763837638377,0.6642066420664207,0.03246268375356498,0.8325141193923528,198,0.7306273062730627,0.31313131313131315,-0.18296711615703085,-36.22748899909211,-0.16274955537948435,-0.6845803813160083,3.1109609063844714,margin_ridge,2022,1552
271,0.6531365313653137,0.6371066054394379,0.22300649441061546,0.6780077262693156,0.9815598961454063,0.539137222336944,271,0.6531365313653137,0.6642066420664207,0.029649377511650532,0.7995196557592443,201,0.7416974169741697,0.35323383084577115,-0.14684499748745367,-29.515844494978186,-0.1395771069737644,-0.6596825698008802,3.0247014765116127,margin_gbm,2022,1552
271,0.6457564575645757,0.6364812335179331,0.22276718165434328,0.6833885209713024,1.0484645279912561,0.5442005750328798,271,0.6457564575645757,0.6642066420664207,0.02902400559014573,0.8245135885017613,194,0.7158671586715867,0.31958762886597936,-0.189243047253554,-36.71315116718948,-0.14542733011159126,-0.6492529324859739,3.091838040279394,ensemble,2022,1552
271,0.6457564575645757,0.6373505423794434,0.22334212649683866,0.6806843267108168,1.0076819643577397,0.5433780269945244,271,0.6457564575645757,0.6642066420664207,0.029893314451656106,0.8283570479324771,189,0.6974169741697417,0.32275132275132273,-0.17557724892144783,-33.18410004615364,-0.15247802157249574,-0.6594326242875754,3.0480475648681065,ensemble_elo,2022,1552
272,0.6102941176470589,0.6622015212323327,0.2340766810389685,0.6441355152974659,0.7175374012907753,0.5437799834641734,272,0.6102941176470589,0.6764705882352942,0.035449334114508346,0.8585516543895984,196,0.7205882352941176,0.3010204081632653,-0.22066308648853222,-43.24996495175232,-0.2190886991188153,-0.7399420436577488,3.0556883371149404,elo,2023,1823
