n,winrate,logloss,brier,auc,cal_slope,mean_p,n_odds,winrate_odds_games,mkt_winrate,logloss_vs_mkt,corr_with_mkt,bet_bets,bet_bet_rate,bet_bet_winrate,bet_flat_roi,bet_flat_pnl,bet_kelly_roi_on_turnover,bet_avg_dec,model,season,train_games
2436,0.5570607553366174,0.6807364789062567,0.24386812138573535,0.5892416328162136,0.8218130961346555,0.5330127848470322,2430,0.5567901234567901,0.5711934156378601,0.0016324998288232972,0.8418959381900938,1226,0.5045267489711934,0.4698205546492659,0.018804808216299315,23.05469487318296,0.03239084447780638,2.228078607646593,elo,2023,17014
2436,0.5701970443349754,0.6796390600385526,0.24332180644597046,0.5958877101248865,0.7768107457545906,0.5325862396801888,2430,0.5699588477366255,0.5711934156378601,0.0005956424040458597,0.880504426811059,1115,0.4588477366255144,0.5049327354260089,0.04296482796433843,47.90578318023735,0.046615850108391414,2.11401141415717,elo_sp,2023,17014
2430,0.5711934156378601,0.679175665596881,0.2430845696250552,0.5950693569924225,0.8407371559772934,0.5291733129099557,2430,0.5711934156378601,0.5711934156378601,0.0,1.0,0,,,,,,,market,2023,17014
2436,0.5525451559934319,0.6843932325774789,0.24559448593160454,0.581207664426775,0.702080683753586,0.5396622227439604,2430,0.5530864197530864,0.5711934156378601,0.005380599760250848,0.7054984866558468,1508,0.6205761316872428,0.4761273209549072,0.013323286504581708,20.091516048909217,0.03063665931783285,2.184324349533228,log5_wpct,2023,17014
2436,0.5582922824302134,0.6860638362587695,0.24641814716386964,0.5787644224536538,0.6344047120577783,0.5402823382365349,2430,0.557201646090535,0.5711934156378601,0.0070454264377690645,0.7456320942284925,1428,0.5876543209876544,0.484593837535014,0.0001896603054515579,0.2708349161848247,-0.00045500905410323554,2.13979475417636,log5_pythag,2023,17014
2436,0.5706075533661741,0.6932302948300646,0.2489799068530694,0.5876758242945421,0.47988337909322465,0.5161834848160537,2430,0.5703703703703704,0.5711934156378601,0.014375948249008785,0.7960943342860617,1661,0.6835390946502058,0.5316074653822999,0.0032261536478763965,5.358641209122695,-0.001877914415449422,1.9437963115681087,runs_negbin,2023,17014
2436,0.5644499178981938,0.6794591915449729,0.2432885497532817,0.591748006784495,0.8718302558444647,0.532810969972799,2430,0.5641975308641975,0.5711934156378601,0.0005445312225834664,0.8581506833607463,1111,0.457201646090535,0.4752475247524752,0.040923995372604945,45.46655885896409,0.05963960550615173,2.256952979403456,logit_l2,2023,17014
2436,0.5660919540229885,0.6787309259499344,0.2429458546141492,0.5936730262304999,0.9026172321969292,0.5328807261885496,2430,0.565843621399177,0.5711934156378601,-0.00019422938107027665,0.8676446023789944,1064,0.4378600823045268,0.46616541353383456,0.031181803317543805,33.17743872986661,0.06356103484183019,2.27550874624002,logit_enet,2023,17014
2436,0.5665024630541872,0.6782521051763478,0.2426927706283843,0.5979295406421503,0.8962294468398784,0.5336983086294573,2430,0.5662551440329218,0.5711934156378601,-0.000640991990915718,0.8640332051144545,1098,0.45185185185185184,0.48633879781420764,0.05489639228120471,60.27623872476277,0.06810721952881327,2.2500362788371544,lightgbm,2023,17014
2436,0.5656814449917899,0.6780548549132339,0.2426066160275936,0.5986216293591461,0.9036263944288508,0.5347270692999923,2430,0.5654320987654321,0.5711934156378601,-0.0008726230736076923,0.8619987636885206,1127,0.4637860082304527,0.48092280390417036,0.044392253898938534,50.03007014410373,0.054416991673777566,2.2439303336198897,xgboost,2023,17014
