model,seasons,n,winrate,logloss,brier,auc,cal_slope,bets,bet_winrate,flat_roi,mkt_winrate
market,4.0,1071.0,0.6760037348272643,0.6079927965236431,0.21044204989583817,0.7260740763363298,1.1094997177252273,0.0,,,0.6760037348272643
lightgbm,4.0,1071.0,0.6535947712418301,0.6352959565990277,0.2222373801174609,0.6870268485571599,0.9578631944100354,756.0,0.38756613756613756,-0.09313891005436685,0.6760037348272643
random_forest,4.0,1071.0,0.6545284780578898,0.6354660055786523,0.2223308889541476,0.6871074970355528,1.0253524532372877,752.0,0.35638297872340424,-0.11088189818708943,0.6760037348272643
ensemble,4.0,1071.0,0.6601307189542484,0.6363656628246629,0.22277062137384007,0.6869886878088988,1.054198563467505,748.0,0.33689839572192515,-0.12311961081396097,0.6760037348272643
ensemble_elo,4.0,1071.0,0.6535947712418301,0.6364419508309391,0.22281203905444197,0.6869951747669958,1.0150997921141642,732.0,0.33469945355191255,-0.1332676027159384,0.6760037348272643
gbm_elo_offset,4.0,1071.0,0.6395891690009337,0.6376560501121664,0.22344407154232185,0.6844761743878233,1.067107675064906,746.0,0.32707774798927614,-0.12192449540206812,0.6760037348272643
logit_l2,4.0,1071.0,0.6573295985060691,0.6380025821244464,0.223507325912731,0.6872030848910053,1.0819806895139719,748.0,0.3302139037433155,-0.11224133692492023,0.6760037348272643
margin_gbm,4.0,1071.0,0.6526610644257703,0.638569381772949,0.22372068538320047,0.6819747661531484,0.9543490053195836,789.0,0.38276299112801015,-0.07805235220222857,0.6760037348272643
margin_ridge,4.0,1071.0,0.6507936507936508,0.638665617817166,0.22384227917577001,0.6845716001891967,1.0848421607043965,760.0,0.31973684210526315,-0.1462457114169028,0.6760037348272643
elo,4.0,1071.0,0.6358543417366946,0.6391224475568316,0.2239473015841352,0.6835286417207617,0.9235455748522251,735.0,0.34829931972789113,-0.13275402621118534,0.6760037348272643
mlp,4.0,1071.0,0.6358543417366946,0.6455823429640287,0.226815383015855,0.6745253876350508,0.9024239398500902,759.0,0.3544137022397892,-0.11514248847144926,0.6760037348272643
log5_wpct,4.0,1071.0,0.611577964519141,0.650747997254666,0.22979081806556145,0.6525431712080209,1.119073986442029,867.0,0.32987312572087657,-0.09287314900174429,0.6760037348272643
