n,winrate,logloss,brier,auc,cal_slope,mean_p,n_odds,winrate_odds_games,mkt_winrate,logloss_vs_mkt,corr_with_mkt,bet_bets,bet_bet_rate,bet_bet_winrate,bet_flat_roi,bet_flat_pnl,bet_kelly_roi,bet_kelly_growth,bet_avg_dec,model,season,train_games
1184,0.6444256756756757,0.6102071317617441,0.21222352303605932,0.716604434742647,0.9894826420357263,0.5601057592360941,1184,0.6444256756756757,0.6934121621621622,0.03231148165985431,0.8964052291927933,791,0.6680743243243243,0.347661188369153,-0.1463487156960974,-115.76183411561304,-0.17002785355526026,-0.9904344351924832,3.2786741377847535,elo,2023,2458
1184,0.6934121621621622,0.5778956501018898,0.19727652844039653,0.762521541819853,1.1584403319286722,0.5555339200239678,1184,0.6934121621621622,0.6934121621621622,0.0,1.0,0,,,,,,,,market,2023,2458
1184,0.6385135135135135,0.6191190627105532,0.21587908485170398,0.70234375,1.096623859138066,0.5340570033130857,1184,0.6385135135135135,0.6934121621621622,0.04122341260866336,0.8571796386867091,874,0.7381756756756757,0.3112128146453089,-0.13208430528518703,-115.44168281925346,-0.17421498171905447,-0.9972370057329708,3.6221963757553928,log5_wpct,2023,2458
1184,0.660472972972973,0.609119645124007,0.21076701618826393,0.72529296875,1.2552602163643718,0.5537137712514545,1184,0.660472972972973,0.6934121621621622,0.031223995022117146,0.8995011639340875,875,0.7390202702702703,0.2937142857142857,-0.16503625392799204,-144.40672218699302,-0.15204229722719112,-0.9893891087363764,3.707432196344931,logit_l2,2023,2458
1184,0.6545608108108109,0.6207240175992208,0.21565755737854564,0.7138973460477941,1.1508238388074798,0.5603806476711884,1184,0.6545608108108109,0.6934121621621622,0.04282836749733099,0.8715092345560861,900,0.7601351351351351,0.29555555555555557,-0.1834151853750027,-165.07366683750243,-0.18133338755568001,-0.9976370992208793,3.6973446449949,lightgbm,2023,2458
1184,0.6461148648648649,0.6213992683286762,0.2160865356066673,0.712790096507353,1.20616333494539,0.5595927612400875,1184,0.6461148648648649,0.6934121621621622,0.04350361822678639,0.8789751866661625,890,0.7516891891891891,0.2842696629213483,-0.18039851471187487,-160.55467809356864,-0.2004088022509903,-0.9985209764364754,3.7699672288788233,random_forest,2023,2458
1184,0.6266891891891891,0.6300215166272053,0.22066574019769947,0.6897202435661764,0.9782698344016781,0.5534786916969572,1184,0.6266891891891891,0.6934121621621622,0.05212586652531548,0.8215042844234852,908,0.7668918918918919,0.31718061674008813,-0.14454876046368592,-131.2502745010268,-0.18151565595011462,-0.9986184877125102,3.604913276401582,mlp,2023,2458
1184,0.6503378378378378,0.6120191421733407,0.21217480601441385,0.7209357766544118,1.2282504520122952,0.5474998980092064,1184,0.6503378378378378,0.6934121621621622,0.034123492071450934,0.8908677239269077,887,0.7491554054054054,0.2976324689966178,-0.1401901759655847,-124.34868608147362,-0.1513563932998777,-0.9911894425618035,3.756958509321884,gbm_elo_offset,2023,2458
1184,0.660472972972973,0.609071578657523,0.2108316851897123,0.7249827665441176,1.244847080898059,0.5541565909273879,1184,0.660472972972973,0.6934121621621622,0.031175928555633226,0.8998146918197516,869,0.7339527027027027,0.30149597238204834,-0.14028935937826204,-121.9114532997097,-0.15005111911389804,-0.9889252285694803,3.7027103449761967,margin_ridge,2023,2458
1184,0.6461148648648649,0.6234378016128738,0.21706225595654613,0.7083567899816177,1.0136782481527689,0.5586809568267159,1184,0.6461148648648649,0.6934121621621622,0.04554215151098395,0.8566979367505676,894,0.7550675675675675,0.319910514541387,-0.16066935057350523,-143.63839941271368,-0.17127952423682138,-0.9968062111670468,3.606686800743598,margin_gbm,2023,2458
1184,0.6494932432432432,0.6148415378371812,0.2133280733589577,0.7190228630514707,1.2223701766259552,0.5553576168032853,1184,0.6494932432432432,0.6934121621621622,0.036945887735291394,0.896167755607883,900,0.7601351351351351,0.28555555555555556,-0.16761866555686936,-150.85679900118242,-0.18629757811507694,-0.9960931254664926,3.7784411230706185,ensemble,2023,2458
1184,0.6494932432432432,0.6113713159296281,0.2122171636449837,0.7188821231617648,1.130719338860563,0.5575336911464461,1184,0.6494932432432432,0.6934121621621622,0.03347566582773831,0.900890695057753,846,0.714527027027027,0.30023640661938533,-0.1621180644960262,-137.15188256363817,-0.18750694509933707,-0.9937449082009842,3.6732819421977054,ensemble_elo,2023,2458
1207,0.6661143330571665,0.6121382438815904,0.21243902421551833,0.7183951478510251,0.9303380283001713,0.5629937763451175,1207,0.6661143330571665,0.695940347970174,0.02929196826607583,0.8690698233150852,850,0.704225352112676,0.3764705882352941,-0.024892135068394838,-21.15831480813561,-0.055860992956642465,-0.913788559688162,3.4512131306198723,elo,2024,3642
1207,0.695940347970174,0.5828462756155146,0.19967780960698697,0.7535931591564657,1.028246930996545,0.5523656164806503,1207,0.695940347970174,0.695940347970174,0.0,1.0,0,,,,,,,,market,2024,3642
1207,0.6470588235294118,0.6200222207157602,0.21616462172475415,0.7025691918436949,1.1054906387401964,0.5360925528180221,1207,0.6470588235294118,0.695940347970174,0.03717594510024558,0.8065173304762832,969,0.8028169014084507,0.32507739938080493,-0.06367846693602215,-61.70443446100547,-0.03550316518488629,-0.9373314574314431,3.842097179004662,log5_wpct,2024,3642
1207,0.6677713338856669,0.6050056439551478,0.20908936495732755,0.7288064510771173,1.1694852825110706,0.5529288060709321,1207,0.6677713338856669,0.695940347970174,0.022159368339633168,0.882817460629267,907,0.7514498757249378,0.3164277839029768,-0.07636492261531153,-69.26298481208755,-0.03329204461370315,-0.8611895572974103,3.906443312449099,logit_l2,2024,3642
1207,0.6628003314001657,0.6122259139531901,0.21182966832081795,0.7207176906339795,1.065544502070852,0.5522313290749213,1207,0.6628003314001657,0.695940347970174,0.02937963833767554,0.8624925368244107,909,0.7531068765534383,0.33223322332233224,-0.07271817851520972,-66.10082427032563,-0.07796444330857898,-0.9636463057736553,3.857743306277509,lightgbm,2024,3642
1207,0.6553438276719138,0.6138067116385648,0.21277952113454934,0.7177473826409997,1.090628556906112,0.5537915057769243,1207,0.6553438276719138,0.695940347970174,0.03096043602305021,0.8668113916090031,921,0.7630488815244407,0.3289902280130293,-0.06617400560882483,-60.94625916572767,-0.09264760511128381,-0.9758274758048059,3.877822806978713,random_forest,2024,3642
1207,0.6594863297431649,0.6056437234180786,0.20940735876183714,0.7267745721704564,1.1264720157017016,0.5502859607012504,1207,0.6594863297431649,0.695940347970174,0.022797447802563986,0.8790198395489351,911,0.7547638773819387,0.33040614709110866,-0.061657120222823776,-56.16963652299246,-0.028872350779888388,-0.8414192515095174,3.8625226426818116,mlp,2024,3642
1207,0.6628003314001657,0.6100978329320444,0.21130721840767694,0.7217363983147032,1.184288033139525,0.5430899135709769,1207,0.6628003314001657,0.695940347970174,0.02725155731652984,0.8710496020917498,933,0.7729908864954432,0.3086816720257235,-0.08218961055493976,-76.6829066477588,-0.04556575016955278,-0.921405388552287,3.967817865852686,gbm_elo_offset,2024,3642
1207,0.6644573322286661,0.6041978215181514,0.2087779090055916,0.7293379507366253,1.1627336611111967,0.5529201823430127,1207,0.6644573322286661,0.695940347970174,0.02135154590263677,0.8874561413339442,895,0.7415078707539354,0.3217877094972067,-0.0625645291639901,-55.99525360177114,-0.033215554801783856,-0.8524174027441646,3.914509564697633,margin_ridge,2024,3642
1207,0.6619718309859155,0.6125459397921044,0.21226221703172454,0.7183785384866654,0.9865278482626842,0.5539769927904807,1207,0.6619718309859155,0.695940347970174,0.029699664176589757,0.8619737064125431,899,0.7448218724109362,0.35372636262513907,-0.07562462825510206,-67.98654080133676,-0.06620500857638048,-0.9460724913389373,3.7166818381088467,margin_gbm,2024,3642
1207,0.6669428334714167,0.6075183932722653,0.21006767991979453,0.7249613832278639,1.1385578714499769,0.5513178129040711,1207,0.6669428334714167,0.695940347970174,0.024672117656750703,0.8821119076622326,898,0.743993371996686,0.3307349665924276,-0.047110361128916645,-42.305104293767144,-0.042876544228425344,-0.8879835775601104,3.9499006551251536,ensemble,2024,3642
