n,winrate,logloss,brier,auc,cal_slope,mean_p,n_odds,winrate_odds_games,mkt_winrate,logloss_vs_mkt,corr_with_mkt,bet_bets,bet_bet_rate,bet_bet_winrate,bet_flat_roi,bet_flat_pnl,bet_kelly_roi,bet_kelly_growth,bet_avg_dec,model,season,train_games
1312,0.5952743902439024,0.6631977222346906,0.2355623162313692,0.6292428992560011,0.8640526550189295,0.5413938062849422,1312,0.5952743902439024,0.6158536585365854,0.007642040447551013,0.9335878769736329,533,0.40625,0.4634146341463415,-0.09271513871200306,-49.41716893349763,-0.07019439745857262,-0.6345850481718853,2.0845729155130153,elo,2023,2603
1312,0.6158536585365854,0.6555556817871396,0.2319747733132241,0.6454260446399326,1.105565229990385,0.5323286901817916,1312,0.6158536585365854,0.6158536585365854,0.0,1.0,0,,,,,,,,market,2023,2603
1312,0.5746951219512195,0.6744681972074893,0.24087337620603305,0.603147957512517,0.7362188736920872,0.5393240919797884,1312,0.5746951219512195,0.6158536585365854,0.018912515420349663,0.7941898100369575,822,0.6265243902439024,0.4124087591240876,-0.13407264328430293,-110.20771277969702,-0.10375423219040854,-0.9438876665624886,2.275623056443572,log5_wpct,2023,2603
1312,0.5945121951219512,0.6655251885937197,0.2365486877556953,0.6280450142716767,0.8512930880789953,0.5282700692679487,1312,0.5945121951219512,0.6158536585365854,0.009969506806580042,0.9051583404075547,643,0.49009146341463417,0.4401244167962675,-0.10666489713676454,-68.5855288589396,-0.0833491029249961,-0.7685195200809065,2.200429687588759,logit_l2,2023,2603
1312,0.59375,0.6717897464365217,0.2393881186631428,0.6169095971175893,0.7432641611452437,0.5277378095899805,1312,0.59375,0.6158536585365854,0.01623406464938204,0.8565295646690675,806,0.614329268292683,0.44044665012406947,-0.13275518969098438,-107.0006828909334,-0.11334487567244887,-0.9468959959520452,2.2091528591253344,lightgbm,2023,2603
1312,0.5853658536585366,0.6694512514219594,0.2384102830621994,0.6183847269664499,0.8090690547310795,0.52855954006131,1312,0.5853658536585366,0.6158536585365854,0.013895569634819749,0.8788377995815126,707,0.5388719512195121,0.43564356435643564,-0.11443347509002938,-80.90446688865077,-0.11573209271058706,-0.9068928781921124,2.269059934746137,random_forest,2023,2603
1312,0.59375,0.6763389762670551,0.24105863000645594,0.6107669271442608,0.6512629241566193,0.5306775424441567,1312,0.59375,0.6158536585365854,0.02078329447991545,0.7748626937078685,880,0.6707317073170732,0.46704545454545454,-0.057416676082358786,-50.52667495247573,-0.06537883918723537,-0.9076475319755322,2.224330890755585,mlp,2023,2603
1312,0.59375,0.6657871288419912,0.23675049321472924,0.6252117355294559,0.8685262571262938,0.5276042969794263,1312,0.59375,0.6158536585365854,0.010231447054851572,0.9054775647236369,656,0.5,0.4268292682926829,-0.10924035940622706,-71.66167577048495,-0.10449781372426578,-0.830835424624009,2.2801402568337004,gbm_elo_offset,2023,2603
1312,0.5960365853658537,0.6641578354040392,0.2358785414562186,0.6310584436853679,0.8548071648941011,0.5286883399796659,1312,0.5960365853658537,0.6158536585365854,0.008602153616899533,0.9103959905376112,625,0.4763719512195122,0.4624,-0.0789144988591522,-49.32156178697012,-0.057806255695890416,-0.6561076776670851,2.1559791643066637,margin_ridge,2023,2603
1312,0.5967987804878049,0.6732869314451323,0.23998453977598322,0.6217947218192877,0.6663864961688329,0.5297748276806482,1312,0.5967987804878049,0.6158536585365854,0.017731249657992665,0.8494531314861833,832,0.6341463414634146,0.49038461538461536,-0.07653243104299864,-63.67498262777487,-0.07266138560482381,-0.9112814609564338,2.055741029125805,margin_gbm,2023,2603
1312,0.5907012195121951,0.6658368768862662,0.23670238554709375,0.6270366384352628,0.8559209827144421,0.5287589180004479,1312,0.5907012195121951,0.6158536585365854,0.010281195099126617,0.9065900310977876,643,0.49009146341463417,0.4261275272161742,-0.13573677657316,-87.27874733654187,-0.09654884557765876,-0.8169190885191356,2.251243502250149,ensemble,2023,2603
1312,0.5914634146341463,0.6640007131057878,0.2358915189486159,0.6290604089654204,0.8769157147836695,0.5338883922847919,1312,0.5914634146341463,0.6158536585365854,0.008445031318648155,0.9264040149638177,550,0.4192073170731707,0.43454545454545457,-0.12442688704796953,-68.43478787638324,-0.08767192884748837,-0.7126172946673548,2.1963991191489876,ensemble_elo,2023,2603
1313,0.5932977913175933,0.669660490764937,0.23853121395831717,0.6068257792572127,0.7844702749094258,0.5401390116583176,1313,0.5932977913175933,0.6092916984006093,0.011715540437690741,0.873343191904941,664,0.5057121096725057,0.4397590361445783,-0.06469770216813844,-42.959274239643925,-0.09592770689484237,-0.8486976643862034,2.2937543579935262,elo,2024,3915
1313,0.6092916984006093,0.6579449503272463,0.23296828061193253,0.6365085127750562,1.0245059182668301,0.5357350494292987,1313,0.6092916984006093,0.6092916984006093,0.0,1.0,1,0.0007616146230007616,0.0,-1.0,-1.0,-1.0,-0.050000000000000044,2.8,market,2024,3915
1313,0.5788271134805788,0.6782862404646246,0.24254951516119652,0.5897130032580048,0.6375862630142513,0.5373218641585259,1313,0.5788271134805788,0.6092916984006093,0.020341290137378287,0.714606727660027,846,0.6443259710586443,0.42671394799054374,-0.07448149635517419,-63.01134591647736,-0.06396610038156662,-0.8944842441937623,2.3450068335774485,log5_wpct,2024,3915
1313,0.5986290936785986,0.6663791726172458,0.237117334601687,0.6130046724785825,0.8944357882786639,0.5330208778229494,1313,0.5986290936785986,0.6092916984006093,0.00843422228999946,0.8534713045442712,738,0.5620715917745621,0.4281842818428184,-0.05368032092609417,-39.6160768434575,-0.04769058044388542,-0.7040607236485876,2.351194713590216,logit_l2,2024,3915
1313,0.5864432597105864,0.67238255340635,0.2398408510540189,0.6063283559570566,0.73764856720722,0.5326328934711853,1313,0.5864432597105864,0.6092916984006093,0.014437603079103689,0.8196771789246805,809,0.6161462300076161,0.4388133498145859,-0.06873927389069479,-55.610072577572076,-0.07993796268358781,-0.8915347936791604,2.2901649699242506,lightgbm,2024,3915
