epoch,train_loss,val_loss,val_pr_auc
1,1.3164333942436643,0.682833731174469,0.09075324734846671
2,1.19078966265279,0.6577674746513367,0.12121500517343478
3,1.0958478768547644,0.6648367047309875,0.15485539025137474
4,1.0332796281042407,0.6649653315544128,0.16470124979940345
5,0.9904649040888717,0.6222477555274963,0.16000457790509218
6,0.9242384450645967,0.6801836490631104,0.17258512871779358
7,0.8931910109815331,0.5081233978271484,0.1698639696081478
8,0.8395740586647599,0.5603060722351074,0.1401008752861
9,0.7771546207997154,0.5744404792785645,0.16086806463829867
10,0.7646542341867527,0.49142009019851685,0.18113911524035153
11,0.7158792809257783,0.4916204512119293,0.17496461987854703
12,0.6596516088831996,0.5119602680206299,0.16537744014677316
13,0.7182684568848566,0.5204883813858032,0.15936165023635934
14,0.6636748596885867,0.44232669472694397,0.16106526707590718
15,0.5796284216458516,0.47481033205986023,0.1516567312161666
