epoch,train_loss,val_loss,val_pr_auc
1,1.3427778446209484,0.6998777985572815,0.1303380614596764
2,1.1962756954484761,0.7421063780784607,0.14861260759971223
3,1.0567276643687793,0.5936242341995239,0.17485522454597652
4,0.9863531654033914,0.535990297794342,0.17269276512942594
5,0.9312763965822688,0.47940149903297424,0.15351801035207582
6,0.8609767920152004,0.6388334035873413,0.14804276108794187
7,0.768614713812822,0.5871559977531433,0.15826200157900194
8,0.6925164230413803,0.4878923296928406,0.1758933027216288
9,0.6653396239986025,0.3851783275604248,0.15751617277557187
10,0.5857162534016034,0.3021240830421448,0.13048598621329052
11,0.5022231894800409,0.3123525381088257,0.13922425073283523
12,0.4648305311758163,0.31267908215522766,0.15727821446556514
13,0.4476863012811812,0.504268229007721,0.13967383244110596
