epoch,train_loss,val_loss,val_pr_auc
1,1.331201435562737,0.6453717947006226,0.12209865947544969
2,1.1970967898952045,0.5527270436286926,0.11793953911316402
3,1.0818878993871475,0.4903550148010254,0.12023697281477774
4,1.0259320694301812,0.8730718493461609,0.10984118940697005
5,0.9630629129145938,0.5392396450042725,0.12292154405852126
6,0.8928170777957041,0.6411385536193848,0.12170203835367875
7,0.8609447273924987,0.6916217803955078,0.11384193210132754
8,0.8093695393859116,0.5725867748260498,0.1339775278483386
9,0.7384490528496818,0.6573648452758789,0.14706214311404514
10,0.6473051490575147,0.578026294708252,0.15140431645225086
11,0.6306308560749238,0.3539440929889679,0.15456495702861064
12,0.6184452142790388,0.44662410020828247,0.15679164637256657
13,0.5408925792691595,0.38435474038124084,0.15552946815718052
14,0.5133037448692591,0.48917561769485474,0.1484743192117237
15,0.4733803573120183,0.3897244334220886,0.1620206343676951
16,0.39856003658862904,0.2919873297214508,0.1741456567086076
17,0.3955131830063566,0.2639511227607727,0.16640276093127598
18,0.3342243099788522,0.40040838718414307,0.13529627052184248
19,0.3434310353282008,0.28845861554145813,0.14504440448013842
20,0.26195650159385897,0.6406435966491699,0.14457993086801055
21,0.33939754928477617,0.2804228961467743,0.13306393844126144
