epoch,train_loss,val_loss,val_pr_auc
1,1.3577333765800252,0.49471378326416016,0.032599018398495994
2,1.2820489540791544,0.5901526212692261,0.030145658756649454
3,1.1601199544436558,0.59269779920578,0.06618453120438203
4,0.9997457604342054,0.5029401183128357,0.06828435617652072
5,0.8477184117122849,0.7856265902519226,0.0698755444518985
6,0.6746122691487001,0.44765594601631165,0.08297923273853905
7,0.5175340447658175,0.3482553958892822,0.07000871175117304
8,0.367093614502283,0.5122628211975098,0.07052855375187027
9,0.2980492240107742,0.26239362359046936,0.06759268347503948
10,0.22210848102055059,0.25522759556770325,0.07740372483627286
11,0.1673549877987188,0.21742448210716248,0.0847683766725938
12,0.12445774427239929,0.24569907784461975,0.1099846319849619
13,0.08681750186162468,0.26272422075271606,0.08817374800619078
14,0.06309998514233083,0.22335761785507202,0.10247869382876143
15,0.04453791580196627,0.23004955053329468,0.10007664532583378
16,0.032745889300289835,0.22232653200626373,0.10250865173323943
17,0.026860859764502452,0.23610490560531616,0.09362665675954263
