up,l1_imbalance,near_imbalance,depth_imbalance,l1_bid_usd,l1_ask_usd,log_bid_usd_within_2t,log_ask_usd_within_2t,log_bid_depth,log_ask_depth
1,0.666253924369812,0.6389347314834595,-0.1126115694642067,9594.205078125,1921.6927490234375,9.852821350097656,8.340264320373535,9.916670799255371,10.142843246459961
1,-0.8231512308120728,0.0,-0.7205083966255188,2.1999998092651367,22.680002212524414,0.0,0.0,4.901381492614746,6.712536811828613
1,0.026657065376639366,-0.6803486943244934,-0.05632598325610161,1100.984619140625,1043.8106689453125,7.004868030548096,8.66365909576416,8.616494178771973,8.729246139526367
1,0.9022231101989746,0.7944864630699158,0.026857739314436913,14980.1455078125,770.0,9.635552406311035,7.469095230102539,9.797954559326172,9.744229316711426
1,-0.9640400409698486,0.3315330147743225,-0.19082631170749664,37.6200065612793,2054.708740234375,8.83144474029541,8.14249038696289,8.888245582580566,9.274590492248535
0,-0.6799092292785645,0.0,-0.5649153590202332,7.050000190734863,37.0,0.0,0.0,5.121749401092529,6.39747953414917
0,0.8507390022277832,0.0,-0.4213663637638092,23.100000381469727,1.8630001544952393,0.0,0.0,5.004064083099365,5.898781776428223
1,0.975037693977356,0.4738549590110779,-0.41665545105934143,9684.4130859375,122.4000015258789,9.178376197814941,8.148502349853516,9.516640663146973,10.403873443603516
1,0.9749336242675781,0.0,-0.5012394785881042,260.0,3.3000001907348633,0.0,0.0,5.8078131675720215,6.9077253341674805
1,0.293192595243454,0.4168088436126709,-0.0280317272990942,146.37002563476562,80.00000762939453,5.340849876403809,4.460028648376465,6.039567947387695,6.095516204833984
1,0.9604139924049377,0.1297871470451355,-0.12263976782560349,1688.035400390625,34.08599853515625,8.504721641540527,8.243735313415527,8.893267631530762,9.139758110046387
1,-0.9857696294784546,-0.9858787059783936,-0.9653473496437073,9.073751449584961,1266.1910400390625,2.3099331855773926,7.152300834655762,4.25173807144165,8.275699615478516
1,-0.33954039216041565,0.0,-0.9013205766677856,69.51998138427734,141.00003051757812,0.0,0.0,5.057101726531982,8.009477615356445
1,0.5437321662902832,0.0,-0.997514009475708,11.040000915527344,3.2629995346069336,0.0,0.0,4.052999973297119,10.724496841430664
1,0.9792181253433228,0.9792181253433228,-0.12920010089874268,199.9999542236328,2.1000001430511475,5.303304672241211,1.1314021348953247,5.954385280609131,6.213644027709961
1,-0.7376803159713745,0.0,-0.23607590794563293,19.0,125.86141967773438,0.0,0.0,5.805749416351318,6.28582763671875
1,-0.571091890335083,0.0,-0.9401067495346069,4.368000030517578,16.0,0.0,0.0,5.746072769165039,9.220905303955078
1,0.9789473414421082,0.9789473414421082,-0.2783224880695343,235.00001525878906,2.499999761581421,5.463831901550293,1.2527629137039185,7.292952060699463,7.864381313323975
1,-0.06250008940696716,0.0,-0.5362243056297302,4.499999523162842,5.100000381469727,0.0,0.0,4.4029316902160645,5.592031002044678
1,-0.9596769213676453,0.0,-0.6234951019287109,1.1499998569488525,55.889404296875,0.0,0.0,5.178494453430176,6.635560989379883
0,-0.07692300528287888,-0.07458106428384781,-0.9901171922683716,216.0000457763672,252.00001525878906,5.384586811065674,5.533389568328857,6.0725417137146,11.375394821166992
1,-0.30898332595825195,0.0,-0.29220977425575256,27.999998092651367,53.040008544921875,0.0,0.0,6.071294784545898,6.672211647033691
0,-0.4224924147129059,0.0,-0.9659609794616699,0.9499999284744263,2.3399999141693115,0.0,0.0,2.274082660675049,6.223718166351318
1,-0.8181818127632141,0.0,-0.8062563538551331,2.0,20.000001907348633,0.0,0.0,3.8750457763671875,6.088820457458496
1,0.4032626450061798,0.0,-0.8972005844116211,24.000001907348633,10.205999374389648,0.0,0.0,4.46359395980835,7.367992877960205
1,0.9109861254692078,-0.461336225271225,-0.4898242950439453,353.4300537109375,16.462799072265625,6.577517986297607,7.5746541023254395,7.806420803070068,8.877811431884766
1,0.5885446667671204,0.5704060792922974,-0.3167078495025635,199.9999542236328,51.802799224853516,5.3183159828186035,4.034997940063477,5.654627323150635,6.308908939361572
1,-0.09930802136659622,0.0,-0.9191648364067078,20.000001907348633,24.410301208496094,0.0,0.0,3.044522523880005,6.165069580078125
1,0.06604830920696259,0.0,-0.9995691180229187,4.999500274658203,4.380000114440918,0.0,0.0,2.379499912261963,10.725093841552734
0,-0.9707409143447876,-0.9707409143447876,0.4455859065055847,0.9499999284744263,63.98699188232422,0.6678293347358704,4.174187183380127,6.976490497589111,6.019631862640381
1,-0.4178800582885742,0.17360588908195496,0.05544029921293259,2882.222412109375,7020.28076171875,9.898844718933105,9.548101425170898,9.920671463012695,9.809682846069336
1,-0.8071041107177734,-0.3641453981399536,-0.04816744849085808,65.5199966430664,613.810302734375,6.189495086669922,6.9517130851745605,7.550647735595703,7.647008895874023
0,-0.40749678015708923,-0.2847798466682434,-0.2841377854347229,862.5601806640625,2049.01953125,7.557689666748047,8.143210411071777,8.40669059753418,8.990946769714355
1,-0.7569820284843445,0.0,-0.9966753125190735,8.186399459838867,59.1864013671875,0.0,0.0,7.572009086608887,13.96933364868164
1,-0.7839810848236084,0.0,-0.9934689998626709,7.144200325012207,59.000003814697266,0.0,0.0,5.241888523101807,10.95767879486084
1,-0.9174737930297852,-0.624634325504303,-0.020741233602166176,754.0182495117188,17519.396484375,8.657774925231934,10.12277889251709,10.128867149353027,10.170353889465332
1,-0.8492560982704163,-0.8509547710418701,0.2821652293205261,74.99470520019531,919.9999389648438,4.330663681030273,6.837697505950928,8.01866626739502,7.438858985900879
0,-0.8750187754631042,0.0,-0.9259107112884521,4.999199867248535,75.0,0.0,0.0,3.1678688526153564,6.384435176849365
1,-0.8995758295059204,-0.9050582647323608,-0.993636429309845,7.930000305175781,149.99996948242188,2.1894164085388184,5.075923442840576,5.227358341217041,10.969127655029297
1,0.34961697459220886,0.34961697459220886,0.22400793433189392,345.4560241699219,166.47592163085938,5.8477559089660645,5.120839595794678,7.20010232925415,6.7447896003723145
1,-0.9373219609260559,0.0,-0.9986523389816284,7.69999885559082,237.99993896484375,0.0,0.0,5.238853454589844,12.535480499267578
1,-0.7755537629127502,0.0,-0.9849017262458801,0.33000001311302185,2.610570192337036,0.0,0.0,1.489527702331543,6.11497163772583
1,-0.060911793261766434,-0.06655612587928772,0.05089795961976051,204.99998474121094,231.59368896484375,5.327876091003418,5.4605793952941895,7.151012897491455,7.04921293258667
1,-0.8563012480735779,0.0,-0.8766739964485168,10.5,135.6390380859375,0.0,0.0,5.805675506591797,8.525284767150879
1,0.0901467576622963,0.0,-0.7589507102966309,2.6000001430511475,2.1700000762939453,0.0,0.0,6.1237640380859375,8.109343528747559
0,0.9027258157730103,0.9094323515892029,-0.634682834148407,890.0001220703125,45.499996185302734,6.867218494415283,3.8394522666931152,8.550739288330078,10.049027442932129
1,-0.11764698475599289,-0.11764698475599289,0.15904319286346436,2.700000047683716,3.419999599456787,1.3083328008651733,1.4861396551132202,5.855300426483154,5.535573482513428
1,-0.24619075655937195,0.0,-0.6833213567733765,39.92279815673828,66.00001525878906,0.0,0.0,4.507960796356201,6.169609546661377
1,-0.5838614106178284,0.0,-0.8041313290596008,3.743999481201172,14.250000953674316,0.0,0.0,4.381101131439209,6.590275764465332
0,0.7508111000061035,-0.4258744418621063,0.16628798842430115,1011.749755859375,143.99998474121094,6.920424461364746,7.829526901245117,9.333292961120605,8.997634887695312
1,-0.7490494251251221,0.34173333644866943,0.5321596264839172,66.00001525878906,460.0,6.844399929046631,6.133398056030273,7.753663539886475,6.568333148956299
1,-0.40000009536743164,0.0,-0.9741079211235046,5.999999523162842,14.000000953674316,0.0,0.0,2.374887228012085,6.612527847290039
