feature,tau_s,median_up,median_down,cliffs_up_vs_down,n_up,n_down
l1_bid_usd,-6.4,50.0,170.40000915527344,-0.173725458070506,313,117
l1_bid_usd,-6.2,55.4680061340332,140.25001525878906,-0.14748368422489833,313,117
l1_bid_usd,-6.0,53.000003814697266,157.49996948242188,-0.1603724638868409,313,117
l1_bid_usd,-5.8,50.0,134.3000030517578,-0.16354004532918276,313,117
l1_bid_usd,-5.6,48.6089973449707,106.75001525878906,-0.13748941863957842,313,117
l1_bid_usd,-5.4,48.79000473022461,106.75001525878906,-0.13869091504874254,313,117
l1_bid_usd,-5.2,41.000003814697266,91.48501586914062,-0.13385762267551404,313,117
l1_bid_usd,-5.0,36.71999740600586,91.48501586914062,-0.140411239452773,313,117
l1_bid_usd,-4.8,29.246801376342773,91.48501586914062,-0.15794216433194064,313,117
l1_bid_usd,-4.6,35.67000198364258,80.00000762939453,-0.12457333224106382,313,117
l1_bid_usd,-4.4,29.60099983215332,89.3570785522461,-0.17356161765107447,313,117
l1_bid_usd,-4.2,30.500003814697266,86.92111206054688,-0.16075475819884766,313,117
l1_bid_usd,-4.0,29.60099983215332,77.9000015258789,-0.14327844679282375,313,117
l1_bid_usd,-3.8,28.799999237060547,76.24999237060547,-0.14060238660877633,313,117
l1_bid_usd,-3.6,29.246801376342773,45.0,-0.11755550094208245,313,117
l1_bid_usd,-3.4,24.990001678466797,41.5,-0.12522869391878977,313,117
l1_bid_usd,-3.2,21.078298568725586,37.499996185302734,-0.1070697140984681,313,117
l1_bid_usd,-3.0,20.330001831054688,36.900001525878906,-0.09753966303487072,313,117
l1_bid_usd,-2.8,20.000001907348633,31.5,-0.09587395210398408,313,117
l1_bid_usd,-2.6,20.000001907348633,29.999998092651367,-0.08689003577182486,313,117
l1_bid_usd,-2.4,19.0,18.0,-0.06324240190054886,313,117
l1_bid_usd,-2.2,16.64999771118164,25.499998092651367,-0.09617432620627508,313,117
l1_bid_usd,-2.0,16.200000762939453,19.250001907348633,-0.06881297616121895,313,117
l1_bid_usd,-1.8,12.32800006866455,17.599998474121094,-0.09603779252341549,313,117
l1_bid_usd,-1.6,11.0,16.500001907348633,-0.12328991562218394,313,117
l1_bid_usd,-1.4,13.000000953674316,15.500001907348633,-0.08009065836541873,313,117
l1_bid_usd,-1.2,10.05000114440918,11.999999046325684,-0.0934163458125119,313,117
l1_bid_usd,-1.0,9.989999771118164,10.80000114440918,-0.09396248054395018,313,117
l1_bid_usd,-0.8,10.000000953674316,10.79999828338623,-0.10382021244641049,313,117
l1_bid_usd,-0.6,8.980000495910645,10.79999828338623,-0.11244914120313476,313,117
l1_bid_usd,-0.4,8.989998817443848,11.500000953674316,-0.13533218645039735,313,117
l1_bid_usd,-0.2,7.989999771118164,8.050000190734863,-0.08085524698943225,313,117
l1_bid_usd,0.0,6.929999351501465,9.900001525878906,-0.14079353376477977,313,117
l1_ask_usd,-15.0,90.0,312.2424011230469,-0.1960623685863302,313,117
l1_ask_usd,-14.8,99.99999237060547,310.0099182128906,-0.1784495234974468,313,117
l1_ask_usd,-14.6,114.90798950195312,289.9999694824219,-0.14371535457797435,313,117
l1_ask_usd,-14.4,113.4000244140625,355.1100769042969,-0.18732421288331835,313,117
l1_ask_usd,-14.2,113.80998992919922,312.00006103515625,-0.1741623658556566,313,117
l1_ask_usd,-14.0,117.7199935913086,312.2424011230469,-0.17039403620873272,313,117
l1_ask_usd,-13.8,113.80998992919922,374.78997802734375,-0.19669042352748423,313,117
l1_ask_usd,-13.6,113.80998992919922,312.00006103515625,-0.16487807542120636,313,117
l1_ask_usd,-13.4,120.00001525878906,310.0099182128906,-0.1787498975997378,313,117
l1_ask_usd,-13.2,130.00001525878906,312.00006103515625,-0.15046011851123675,313,117
l1_ask_usd,-13.0,130.00001525878906,371.7000732421875,-0.17069441031102373,313,117
l1_ask_usd,-12.8,146.18028259277344,442.2000732421875,-0.19882034898009338,313,117
l1_ask_usd,-12.6,148.11997985839844,374.78997802734375,-0.19499740586002567,313,117
l1_ask_usd,-12.4,147.27239990234375,391.28204345703125,-0.19966685781382265,313,117
l1_ask_usd,-12.2,130.00001525878906,391.28204345703125,-0.23022309603779256,313,117
l1_ask_usd,-12.0,118.836181640625,391.28204345703125,-0.23917970563337976,313,117
l1_ask_usd,-11.8,110.00001525878906,371.7000732421875,-0.2538980366456405,313,117
l1_ask_usd,-11.6,120.00001525878906,391.28204345703125,-0.2540345703285001,313,117
l1_ask_usd,-11.4,122.22201538085938,425.0000915527344,-0.2520411785587504,313,117
l1_ask_usd,-11.2,120.00001525878906,355.1100769042969,-0.231315365500669,313,117
