slug,gamePk,inning,half,is_top,start_ms,end_ms,is_scoring,has_out,event,away_score,home_score,description
mlb-col-nyy-2026-09-10,823499,1,top,True,1789081699805.0,1789081770504.0,False,True,Groundout,0,0,"Jake McCarthy grounds out, shortstop George Lombard Jr. to first baseman Luis García Jr."
mlb-col-nyy-2026-09-10,823499,1,top,True,1789081785620.0,1789081995497.0,False,True,Strikeout,0,0,"Austin Wells challenged (pitch result), call on the field was overturned: Connor Norby called out on strikes."
mlb-col-nyy-2026-09-10,823499,1,top,True,1789082028373.0,1789082128007.0,False,True,Strikeout,0,0,Hunter Goodman strikes out swinging.
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082244777.0,1789082311818.0,False,False,Single,0,0,Ben Rice singles on a ground ball to right fielder Jordan Beck.
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082323889.0,1789082419233.0,False,True,Strikeout,0,0,Cody Bellinger strikes out on a foul tip.
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082430328.0,1789082558180.0,False,True,Groundout,0,0,"Jasson Domínguez grounds out, first baseman TJ Rumfield to pitcher Ryan Feltner. Ben Rice to 3rd."
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082582154.0,1789082682226.0,True,False,Home Run,0,2,Luis García Jr. homers (30) on a fly ball to center field. Ben Rice scores.
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082700023.0,1789082808313.0,False,False,Single,0,2,Spencer Jones singles on a sharp line drive to right fielder Jordan Beck.
mlb-col-nyy-2026-09-10,823499,1,bottom,False,1789082821879.0,1789082841626.0,False,True,Forceout,0,2,"George Lombard Jr. grounds into a force out, shortstop Ezequiel Tovar to second baseman Connor Norby. Spencer Jones out "
mlb-col-nyy-2026-09-10,823499,2,top,True,1789082965111.0,1789083081289.0,False,True,Strikeout,0,2,TJ Rumfield strikes out on a foul tip.
mlb-col-nyy-2026-09-10,823499,2,top,True,1789083089618.0,1789083269903.0,False,True,Strikeout,0,2,Cole Carrigg strikes out swinging.
mlb-col-nyy-2026-09-10,823499,2,top,True,1789083282250.0,1789083406197.0,True,False,Home Run,1,2,Kyle Karros homers (11) on a fly ball to left field.
mlb-col-nyy-2026-09-10,823499,2,top,True,1789083421538.0,1789083506618.0,False,True,Strikeout,1,2,"Adael Amador strikes out swinging, catcher Austin Wells to first baseman Luis García Jr."
