slug,ts,signed,market_type,lag_s,null_lag_s
mlb-bal-tor-2026-09-11,1789168249200.0,-1,total,165.599,3.44342919921875
mlb-bal-tor-2026-09-11,1789168358000.0,-1,total,97.485,110.74035571289062
mlb-bal-tor-2026-09-11,1789168814800.0,-1,total,72.847,48.435686767578126
mlb-bal-tor-2026-09-11,1789169090400.0,1,total,132.239,97.37656420898438
mlb-bal-tor-2026-09-11,1789169156200.0,-1,total,37.236,60.515093017578124
mlb-bal-tor-2026-09-11,1789169613000.0,1,total,82.994,137.69901977539064
mlb-bal-tor-2026-09-11,1789171111600.0,-1,total,62.647,190.20591381835936
mlb-bal-tor-2026-09-11,1789171468400.0,-1,total,51.007,29.7708291015625
mlb-bal-tor-2026-09-11,1789172602600.0,1,total,159.341,174.50146728515625
mlb-bal-tor-2026-09-11,1789172666800.0,-1,total,49.547,24.256771484375
mlb-bal-tor-2026-09-11,1789172965800.0,-1,total,129.619,85.5825478515625
mlb-bal-tor-2026-09-11,1789173077800.0,-1,total,66.048,
mlb-bal-tor-2026-09-11,1789168211400.0,1,spread,127.799,72.52913818359374
mlb-bal-tor-2026-09-11,1789169070600.0,1,spread,112.439,85.98598852539062
mlb-bal-tor-2026-09-11,1789171661600.0,-1,spread,6.061,31.312590087890626
mlb-bal-tor-2026-09-11,1789171691600.0,1,spread,36.061,63.608880126953125
mlb-bal-tor-2026-09-11,1789173709600.0,1,spread,141.287,128.56399096679687
mlb-bal-tor-2026-09-11,1789175031600.0,-1,spread,331.652,153.50509692382812
mlb-bal-tor-2026-09-11,1789168254200.0,-1,moneyline,170.599,74.15130102539062
mlb-bal-tor-2026-09-11,1789169071400.0,1,moneyline,113.239,1.5607197265625
mlb-bal-tor-2026-09-11,1789169245000.0,1,moneyline,7.308,34.887760986328125
mlb-bal-tor-2026-09-11,1789169494400.0,-1,moneyline,18.732,107.63120190429687
mlb-bal-tor-2026-09-11,1789169707600.0,-1,moneyline,46.117,111.9270703125
mlb-bal-tor-2026-09-11,1789169737600.0,1,moneyline,76.117,102.69014453125
mlb-bal-tor-2026-09-11,1789169767600.0,1,moneyline,106.117,29.8309677734375
mlb-bal-tor-2026-09-11,1789169833000.0,1,moneyline,47.739,88.114515625
mlb-bal-tor-2026-09-11,1789170460200.0,1,moneyline,105.93,182.3493330078125
mlb-bal-tor-2026-09-11,1789171512800.0,1,moneyline,95.407,23.45679345703125
mlb-bal-tor-2026-09-11,1789174560400.0,-1,moneyline,144.256,102.61320068359375
mlb-bal-tor-2026-09-11,1789175057600.0,1,moneyline,357.652,17.72263330078125
mlb-bal-tor-2026-09-11,1789175625000.0,1,moneyline,83.163,1.06369482421875
mlb-bal-tor-2026-09-11,1789176174400.0,1,moneyline,164.774,138.9989296875
mlb-bal-tor-2026-09-11,1789168020600.0,-1,spread,,93.83044604492187
mlb-bal-tor-2026-09-11,1789168132400.0,-1,spread,48.799,321.6862578125
mlb-bal-tor-2026-09-11,1789168179600.0,-1,spread,95.999,106.67620361328125
mlb-bal-tor-2026-09-11,1789168400600.0,1,spread,30.845,176.33006372070312
mlb-bal-tor-2026-09-11,1789169754400.0,-1,spread,92.917,60.511988037109376
mlb-bal-tor-2026-09-11,1789170388600.0,-1,spread,34.33,88.2311494140625
mlb-bal-tor-2026-09-11,1789171113400.0,1,spread,64.447,14.272661376953126
mlb-bal-tor-2026-09-11,1789171228600.0,1,spread,34.115,75.108470703125
mlb-bal-tor-2026-09-11,1789172604400.0,-1,spread,161.141,82.60886547851563
mlb-bal-tor-2026-09-11,1789173423000.0,-1,spread,301.782,94.9388232421875
mlb-bal-tor-2026-09-11,1789175350000.0,-1,spread,135.178,70.50477294921875
mlb-bal-tor-2026-09-11,1789171405400.0,1,total,210.915,105.07036791992188
mlb-bal-tor-2026-09-11,1789171518000.0,-1,total,100.607,18.104133544921876
mlb-bal-tor-2026-09-11,1789172593800.0,-1,total,150.541,95.8632021484375
mlb-bal-tor-2026-09-11,1789173431600.0,1,total,310.382,136.52442456054686
mlb-bal-tor-2026-09-11,1789174374400.0,-1,total,59.726,105.53877709960938
mlb-bal-tor-2026-09-11,1789168358000.0,-1,total,97.485,93.8982880859375
mlb-bal-tor-2026-09-11,1789169778200.0,1,total,116.717,90.61975122070312
mlb-bal-tor-2026-09-11,1789171282600.0,1,total,88.115,5.669136474609375
mlb-bal-tor-2026-09-11,1789173243000.0,1,total,121.782,60.2433271484375
mlb-bal-tor-2026-09-11,1789173666800.0,-1,total,98.487,22.669382080078126
mlb-bal-tor-2026-09-11,1789175793600.0,1,total,10.388,111.57178247070313
mlb-bal-tor-2026-09-11,1789177724200.0,1,total,209.423,87.6605087890625
mlb-cle-min-2026-09-11,1789171910800.0,1,moneyline,,57.34356787109375
mlb-cle-min-2026-09-11,1789172813600.0,1,moneyline,85.482,1.6420419921875
mlb-cle-min-2026-09-11,1789172865600.0,-1,moneyline,16.758,46.47137451171875
mlb-cle-min-2026-09-11,1789173532600.0,1,moneyline,195.224,51.235428466796876
mlb-cle-min-2026-09-11,1789174990200.0,-1,moneyline,4.827,24.83013525390625
mlb-cle-min-2026-09-11,1789175035800.0,1,moneyline,50.427,61.02168701171875
mlb-cle-min-2026-09-11,1789175065800.0,1,moneyline,80.427,44.156206787109376
mlb-cle-min-2026-09-11,1789175272000.0,-1,moneyline,169.229,78.81387377929687
mlb-cle-min-2026-09-11,1789176530000.0,1,moneyline,174.011,148.3101123046875
mlb-cle-min-2026-09-11,1789176802200.0,-1,moneyline,81.414,156.62909399414062
mlb-cle-min-2026-09-11,1789177522600.0,-1,moneyline,29.676,217.42422290039062
mlb-cle-min-2026-09-11,1789178106800.0,1,moneyline,19.094,54.0542998046875
mlb-cle-min-2026-09-11,1789178182000.0,1,moneyline,35.363,34.717698486328125
mlb-cle-min-2026-09-11,1789178325200.0,-1,moneyline,83.178,20.79184521484375
mlb-cle-min-2026-09-11,1789178979600.0,1,moneyline,23.297,103.66058862304688
mlb-cle-min-2026-09-11,1789180669400.0,1,moneyline,100.892,35.15953149414062
mlb-cle-min-2026-09-11,1789180708000.0,-1,moneyline,139.492,76.46991870117188
mlb-cle-min-2026-09-11,1789180837000.0,1,moneyline,43.959,59.71117651367187
mlb-cle-min-2026-09-11,1789174157000.0,-1,spread,19.982,157.92437084960937
mlb-cle-min-2026-09-11,1789181785200.0,-1,spread,53.193,30.24722265625
mlb-cle-min-2026-09-11,1789172907800.0,1,total,58.958,47.917533203125
mlb-cle-min-2026-09-11,1789175638200.0,-1,total,105.387,9.194710693359376
mlb-cle-min-2026-09-11,1789177571800.0,-1,total,78.876,4.773931396484375
mlb-cle-min-2026-09-11,1789178771000.0,-1,total,167.231,102.165423828125
mlb-cle-min-2026-09-11,1789181211000.0,-1,total,32.116,97.4807236328125
mlb-cle-min-2026-09-11,1789172105800.0,1,spread,19.004,39.63571020507813
mlb-cle-min-2026-09-11,1789175212400.0,1,spread,109.629,5.826664306640625
mlb-cle-min-2026-09-11,1789177301200.0,1,spread,71.166,145.08499462890626
mlb-cle-min-2026-09-11,1789174193800.0,1,spread,56.782,39.2343232421875
mlb-cle-min-2026-09-11,1789175734000.0,1,spread,35.496,160.7927189941406
mlb-cle-min-2026-09-11,1789176132200.0,1,spread,70.44,82.44758129882813
mlb-cle-min-2026-09-11,1789176751800.0,-1,spread,31.014,149.817234375
mlb-cle-min-2026-09-11,1789178190000.0,-1,spread,43.363,124.90516943359376
mlb-cle-min-2026-09-11,1789177698000.0,1,spread,205.076,44.856794189453126
mlb-cle-min-2026-09-11,1789181639000.0,1,spread,161.691,28.4498720703125
mlb-cle-min-2026-09-11,1789171916200.0,1,total,,79.1298408203125
mlb-cle-min-2026-09-11,1789172488800.0,-1,total,89.151,97.88236987304687
mlb-cle-min-2026-09-11,1789174086200.0,1,total,64.467,51.316937744140624
mlb-cle-min-2026-09-11,1789175638200.0,-1,total,105.387,240.00670703125
mlb-cle-min-2026-09-11,1789175687000.0,-1,total,154.187,122.2033037109375
mlb-cle-min-2026-09-11,1789176167200.0,1,total,105.44,183.79219750976563
mlb-cle-min-2026-09-11,1789178601800.0,1,total,53.84,42.3793623046875
mlb-cle-min-2026-09-11,1789179231600.0,-1,total,150.663,37.616959228515626
mlb-cle-min-2026-09-11,1789179505000.0,-1,total,151.718,129.8716513671875
mlb-cle-min-2026-09-11,1789172964000.0,-1,total,115.158,4.438122802734375
