slug,ts,signed,market_type,lag_s,null_lag_s
mlb-cin-chc-2026-08-30,1788133706600.0,1,moneyline,106.36,61.6478076171875
mlb-cin-chc-2026-08-30,1788133922200.0,1,moneyline,195.241,58.664783203125
mlb-cin-chc-2026-08-30,1788134007400.0,-1,moneyline,51.668,208.4575126953125
mlb-cin-chc-2026-08-30,1788134056400.0,-1,moneyline,100.668,85.06085009765626
mlb-cin-chc-2026-08-30,1788134086400.0,-1,moneyline,130.668,178.44512524414063
mlb-cin-chc-2026-08-30,1788134329400.0,-1,moneyline,237.375,227.36941333007812
mlb-cin-chc-2026-08-30,1788134416800.0,1,moneyline,49.612,44.106276123046875
mlb-cin-chc-2026-08-30,1788134502000.0,1,moneyline,78.078,84.70811401367187
mlb-cin-chc-2026-08-30,1788134906600.0,1,moneyline,291.857,37.29973779296875
mlb-cin-chc-2026-08-30,1788134948200.0,1,moneyline,26.153,33.815996826171876
mlb-cin-chc-2026-08-30,1788135005000.0,-1,moneyline,37.946,204.8760537109375
mlb-cin-chc-2026-08-30,1788135049400.0,-1,moneyline,82.346,
mlb-cin-chc-2026-08-30,1788135105200.0,1,moneyline,138.146,86.93711547851562
mlb-cin-chc-2026-08-30,1788135135600.0,1,moneyline,18.977,132.868455078125
mlb-cin-chc-2026-08-30,1788135165600.0,-1,moneyline,48.977,86.33373461914063
mlb-cin-chc-2026-08-30,1788135205800.0,-1,moneyline,25.803,95.13891674804688
mlb-cin-chc-2026-08-30,1788135404600.0,1,moneyline,186.336,146.019826171875
mlb-cin-chc-2026-08-30,1788135542200.0,-1,moneyline,47.413,15.161328857421875
mlb-cin-chc-2026-08-30,1788135663600.0,1,moneyline,103.169,204.09023681640625
mlb-cin-chc-2026-08-30,1788135746400.0,-1,moneyline,75.086,55.422034912109375
mlb-cin-chc-2026-08-30,1788135835800.0,1,moneyline,72.029,78.99088330078125
mlb-cin-chc-2026-08-30,1788135869200.0,1,moneyline,105.429,173.04891528320312
mlb-cin-chc-2026-08-30,1788135938800.0,1,moneyline,62.475,277.65363647460936
mlb-cin-chc-2026-08-30,1788136141200.0,-1,moneyline,192.805,37.881768798828126
mlb-cin-chc-2026-08-30,1788136337800.0,-1,moneyline,119.969,133.6242294921875
mlb-cin-chc-2026-08-30,1788136980200.0,-1,moneyline,203.753,65.32952856445313
