sec_from_play_end,mean_abs_tick_move,null_mean_abs_tick_move,ratio
-147.5,0.06263765825091729,0.02374350089683301,2.6380969901229734
-142.5,0.05258347850549158,0.020832403221478064,2.524119658517284
-137.5,0.056784119205697196,0.011873614353438219,4.782378601445341
-132.5,0.06474704558877324,0.025996298601643906,2.490625553311612
-127.5,0.046777073829558,0.02676528192435702,1.747677232085861
-122.5,0.04366342784940369,0.017492604276372326,2.496107907064525
-117.5,0.041073456553067204,0.028098153266020946,1.461784913912377
-112.5,0.03491725965018665,0.015732867369014355,2.219383080731721
-107.5,0.03783823517988875,0.01530416139608456,2.472414802784904
-102.5,0.055590554001056176,0.02331341228758295,2.384488092747559
-97.5,0.044942841066845825,0.0253916695765737,1.7699836921440564
-92.5,0.028569903913589694,0.027599074106870427,1.0351761730469644
-87.5,0.02987018303314924,0.017495346717812398,1.7073215818431164
-82.5,0.017679300981145056,0.011262502319489914,1.5697489314209316
-77.5,0.037082205848305155,0.014755100677548734,2.5131787751695387
-72.5,0.03945803135872459,0.012116203777905968,3.2566331899003504
-67.5,0.040882283675351315,0.01491249425129758,2.7414785874464984
-62.5,0.03809779724549679,0.006503234924403606,5.858284021469613
-57.5,0.030170959104148163,0.016704626905697365,1.8061438471192615
-52.5,0.03935819549939383,0.031685675553011675,1.2421447487696975
-47.5,0.04923181031441325,0.015896308291013593,3.097059355740143
-42.5,0.03727256058882823,0.01340186041607349,2.781148245964827
-37.5,0.0310709679573183,0.014961137764880226,2.0767784138887007
-32.5,0.04117685761130242,0.026795353336880604,1.5367163512871986
-27.5,0.13056461859553584,0.007435650357769595,17.55927354210616
-22.5,0.07842838260574296,0.013433348532352183,5.838334531175164
-17.5,0.06847066811123302,0.03321714918905248,2.061304771265536
-12.5,0.21115110455494787,0.02838611315108008,7.438535294745475
-7.5,0.36500381684748745,0.03327594659705129,10.968998756592303
-2.5,0.21446723345785387,0.014711117164956197,14.578582377736943
2.5,0.11832260815500623,0.01607915670093563,7.358757076365899
7.5,0.053276390165814924,0.01534213828595562,3.4725531195729595
12.5,0.051973623316735024,0.014215283326080276,3.6561792068808687
17.5,0.021090281351159017,0.007429624134157267,2.838674066188311
22.5,0.02024444233522647,0.016512301296646163,1.2260218591904175
27.5,0.015756942249006693,0.03133522243135505,0.5028508185485155
32.5,0.008636114549719624,0.020439790150461098,0.42251483435727955
37.5,0.015788497736618393,0.02545045699096388,0.6203620525251888
42.5,0.025834735783023966,0.01941926797709467,1.330366098943402
47.5,0.02421213111707143,0.017668318829287297,1.3703698326372173
52.5,0.020928755944358213,0.02560638231126483,0.8173257623803881
57.5,0.032053566220704294,0.029893346967467566,1.0722642150304433
62.5,0.024207535131819665,0.018441120077358195,1.3126933196179018
67.5,0.028840285539627076,0.015618048337899225,1.8465998385753726
72.5,0.031912486865702604,0.023154413733858042,1.3782463780993028
77.5,0.048651772916376124,0.019438489654505495,2.502857669556622
82.5,0.023931942555880232,0.025836636799895178,0.9262793273456291
87.5,0.03070554963002602,0.01995404984459537,1.5388129161330493
92.5,0.016888477943009798,0.02177744565196532,0.7755031610645156
97.5,0.021694446851809823,0.01976123080310466,1.0978287267613633
102.5,0.016517847666280377,0.024916339958845467,0.6629323445402915
107.5,0.016301399329677224,0.022313112333643612,0.7305748783910367
112.5,0.02893969028234659,0.017105797446633462,1.691805972368866
117.5,0.023571531966368044,0.023391476733777575,1.007697471803072
122.5,0.02073949707805046,0.02413984028408156,0.8591397802961699
127.5,0.026175395446267746,0.026148478468022648,1.0010293898468323
132.5,0.011228778836361709,0.02211575354129155,0.5077276166691245
137.5,0.03117759440035101,0.027273491526604018,1.1431464273629477
142.5,0.051586221311238696,0.033893846344971466,1.5219937208127485
147.5,0.01678293966540387,0.013323749947760784,1.2596258359099906
