slug,ts,signed,market_type,lag_s,null_lag_s
mlb-bal-tor-2026-09-12,1789243215000.0,1,total,17.922,160.12585473632814
mlb-bal-tor-2026-09-12,1789243246200.0,-1,total,49.122,251.73076171875
mlb-bal-tor-2026-09-12,1789243277000.0,1,total,79.922,7.662978515625
mlb-bal-tor-2026-09-12,1789243313600.0,1,total,116.522,177.01706103515625
mlb-bal-tor-2026-09-12,1789243346200.0,1,total,12.366,5.098357177734375
mlb-bal-tor-2026-09-12,1789243376200.0,-1,total,42.366,250.17075610351563
mlb-bal-tor-2026-09-12,1789243406200.0,1,total,72.366,15.87895849609375
mlb-bal-tor-2026-09-12,1789243474400.0,1,total,58.705,41.00323388671875
mlb-bal-tor-2026-09-12,1789243504400.0,1,total,88.705,93.17442211914063
mlb-bal-tor-2026-09-12,1789243534400.0,1,total,118.705,84.83417407226563
mlb-bal-tor-2026-09-12,1789243681200.0,1,total,130.002,73.44516088867188
mlb-bal-tor-2026-09-12,1789243719400.0,1,total,168.202,230.91645825195312
mlb-bal-tor-2026-09-12,1789243749400.0,-1,total,198.202,43.656814697265624
mlb-bal-tor-2026-09-12,1789243779400.0,1,total,228.202,25.24920703125
mlb-bal-tor-2026-09-12,1789243809400.0,1,total,258.202,15.37233154296875
mlb-bal-tor-2026-09-12,1789243853400.0,-1,total,29.596,147.15336596679688
mlb-bal-tor-2026-09-12,1789243883800.0,-1,total,59.996,242.32284497070313
mlb-bal-tor-2026-09-12,1789243930000.0,-1,total,31.081,189.99029150390626
mlb-bal-tor-2026-09-12,1789243960000.0,1,total,5.688,48.37384130859375
mlb-bal-tor-2026-09-12,1789243990000.0,1,total,35.688,29.948558837890626
mlb-bal-tor-2026-09-12,1789244020000.0,-1,total,65.688,55.93418017578125
mlb-bal-tor-2026-09-12,1789244063000.0,1,total,108.688,23.33582470703125
mlb-bal-tor-2026-09-12,1789244102000.0,1,total,17.561,215.17287036132814
mlb-bal-tor-2026-09-12,1789244132000.0,-1,total,5.58,7.890111572265625
mlb-bal-tor-2026-09-12,1789244272400.0,1,total,145.98,40.30444702148438
mlb-bal-tor-2026-09-12,1789244302400.0,-1,total,175.98,41.46120336914063
mlb-bal-tor-2026-09-12,1789244350600.0,1,total,17.79,135.49516723632811
mlb-bal-tor-2026-09-12,1789244380600.0,1,total,47.79,127.83115625
mlb-bal-tor-2026-09-12,1789244417600.0,1,total,84.79,43.028859375
mlb-bal-tor-2026-09-12,1789244453200.0,-1,total,120.39,6.638469970703125
mlb-bal-tor-2026-09-12,1789244487400.0,1,total,154.59,39.052500732421876
mlb-bal-tor-2026-09-12,1789244517400.0,1,total,184.59,37.8311123046875
mlb-bal-tor-2026-09-12,1789244547400.0,-1,total,214.59,17.649873779296875
mlb-bal-tor-2026-09-12,1789244586200.0,1,total,253.39,250.3398447265625
mlb-bal-tor-2026-09-12,1789244621400.0,1,total,14.331,24.841464599609374
mlb-bal-tor-2026-09-12,1789244651400.0,-1,total,44.331,124.08594165039062
mlb-bal-tor-2026-09-12,1789244682600.0,-1,total,75.531,26.568869873046875
mlb-bal-tor-2026-09-12,1789244712600.0,1,total,105.531,61.179916015625
mlb-bal-tor-2026-09-12,1789244876200.0,1,total,133.041,48.793413818359376
mlb-bal-tor-2026-09-12,1789244906200.0,-1,total,163.041,0.53276904296875
mlb-bal-tor-2026-09-12,1789244969800.0,1,total,226.641,45.13125927734375
mlb-bal-tor-2026-09-12,1789244999800.0,-1,total,256.641,31.75390869140625
mlb-bal-tor-2026-09-12,1789245030000.0,-1,total,28.805,22.698810546875
mlb-bal-tor-2026-09-12,1789245064200.0,-1,total,63.005,24.307456787109373
mlb-bal-tor-2026-09-12,1789245095200.0,1,total,94.005,9.176970947265625
mlb-bal-tor-2026-09-12,1789245125200.0,-1,total,124.005,113.65588159179687
mlb-bal-tor-2026-09-12,1789245155200.0,-1,total,154.005,54.78308642578125
mlb-bal-tor-2026-09-12,1789245185200.0,1,total,26.383,27.55159814453125
mlb-bal-tor-2026-09-12,1789245241000.0,-1,total,82.183,52.30885620117188
mlb-bal-tor-2026-09-12,1789245276600.0,-1,total,117.783,25.304323486328126
mlb-bal-tor-2026-09-12,1789245306600.0,-1,total,25.78,237.37877954101563
mlb-bal-tor-2026-09-12,1789245338400.0,1,total,57.58,101.5070224609375
mlb-bal-tor-2026-09-12,1789245499200.0,-1,total,141.668,243.67491284179687
mlb-bal-tor-2026-09-12,1789245531200.0,-1,total,173.668,36.16175830078125
mlb-bal-tor-2026-09-12,1789245569600.0,1,total,13.985,145.719998046875
mlb-bal-tor-2026-09-12,1789245599600.0,-1,total,43.985,20.98519287109375
mlb-bal-tor-2026-09-12,1789245629600.0,1,total,73.985,167.29036645507813
mlb-bal-tor-2026-09-12,1789245661000.0,1,total,105.385,181.73587060546876
mlb-bal-tor-2026-09-12,1789245706200.0,-1,total,27.632,3.593765625
mlb-bal-tor-2026-09-12,1789245743000.0,1,total,64.432,18.997651611328124
mlb-bal-tor-2026-09-12,1789245793600.0,-1,total,115.032,147.57358227539063
mlb-bal-tor-2026-09-12,1789245825200.0,1,total,146.632,57.327060302734374
mlb-bal-tor-2026-09-12,1789245855200.0,-1,total,176.632,47.49629956054687
mlb-bal-tor-2026-09-12,1789245893600.0,1,total,215.032,183.32621899414062
mlb-bal-tor-2026-09-12,1789246031400.0,1,total,121.264,82.915146484375
mlb-bal-tor-2026-09-12,1789246073000.0,-1,total,162.864,67.03053930664062
mlb-bal-tor-2026-09-12,1789246103000.0,-1,total,192.864,149.09267138671876
mlb-bal-tor-2026-09-12,1789246139600.0,1,total,229.464,48.4337822265625
mlb-bal-tor-2026-09-12,1789246245600.0,1,total,18.81,171.7551162109375
mlb-bal-tor-2026-09-12,1789246275600.0,-1,total,48.81,154.19211889648437
mlb-bal-tor-2026-09-12,1789246310200.0,-1,total,83.41,150.05367529296876
mlb-bal-tor-2026-09-12,1789246346000.0,1,total,119.21,62.38287329101563
mlb-bal-tor-2026-09-12,1789246520200.0,-1,total,158.266,23.629435791015624
mlb-bal-tor-2026-09-12,1789246551200.0,1,total,189.266,67.5871728515625
mlb-bal-tor-2026-09-12,1789246581200.0,1,total,219.266,19.163640625
mlb-bal-tor-2026-09-12,1789246611200.0,1,total,249.266,173.78342431640624
mlb-bal-tor-2026-09-12,1789246693200.0,1,total,67.966,167.76465502929688
mlb-bal-tor-2026-09-12,1789246836200.0,1,total,119.66,105.57182788085937
mlb-bal-tor-2026-09-12,1789246873600.0,1,total,13.319,144.32968676757812
mlb-bal-tor-2026-09-12,1789246906000.0,1,total,45.719,58.24561962890625
mlb-bal-tor-2026-09-12,1789246955600.0,-1,total,33.13,21.095346435546876
mlb-bal-tor-2026-09-12,1789246990800.0,1,total,68.33,197.53708642578124
mlb-bal-tor-2026-09-12,1789247026400.0,1,total,103.93,94.65454272460937
mlb-bal-tor-2026-09-12,1789247066000.0,1,total,30.314,
mlb-bal-tor-2026-09-12,1789247096000.0,-1,total,60.314,251.06736987304689
mlb-bal-tor-2026-09-12,1789247126200.0,1,total,90.514,94.59497924804687
mlb-bal-tor-2026-09-12,1789247160200.0,1,total,124.514,66.0269462890625
mlb-bal-tor-2026-09-12,1789247233400.0,-1,total,66.016,18.0702880859375
mlb-bal-tor-2026-09-12,1789247263400.0,-1,total,96.016,133.76152978515626
mlb-bal-tor-2026-09-12,1789247293400.0,1,total,126.016,177.623228515625
mlb-bal-tor-2026-09-12,1789247323400.0,-1,total,156.016,16.97308447265625
mlb-bal-tor-2026-09-12,1789247353400.0,-1,total,186.016,147.2912978515625
mlb-bal-tor-2026-09-12,1789247520400.0,1,total,161.206,168.78757446289063
mlb-bal-tor-2026-09-12,1789247550400.0,1,total,191.206,10.91739404296875
mlb-bal-tor-2026-09-12,1789247580600.0,-1,total,221.406,140.28241528320314
mlb-bal-tor-2026-09-12,1789247615600.0,-1,total,32.933,84.14393359375
mlb-bal-tor-2026-09-12,1789247647400.0,-1,total,64.733,78.78221215820312
mlb-bal-tor-2026-09-12,1789247810400.0,1,total,227.733,137.70533520507811
mlb-bal-tor-2026-09-12,1789247840400.0,1,total,257.733,22.857935791015624
mlb-bal-tor-2026-09-12,1789247870400.0,1,total,23.699,99.5934775390625
mlb-bal-tor-2026-09-12,1789247907400.0,1,total,60.699,130.1071721191406
mlb-bal-tor-2026-09-12,1789248063200.0,1,total,142.797,130.41227685546875
mlb-bal-tor-2026-09-12,1789248093200.0,-1,total,172.797,31.04008203125
mlb-bal-tor-2026-09-12,1789248124800.0,-1,total,204.397,36.014096435546875
mlb-bal-tor-2026-09-12,1789240450200.0,1,moneyline,43.109,71.58841284179688
mlb-bal-tor-2026-09-12,1789240501400.0,1,moneyline,34.913,96.29771557617188
mlb-bal-tor-2026-09-12,1789240622800.0,-1,moneyline,156.313,120.946552734375
mlb-bal-tor-2026-09-12,1789240694400.0,1,moneyline,227.913,117.88190966796876
mlb-bal-tor-2026-09-12,1789240729000.0,1,moneyline,262.513,94.23159887695313
mlb-bal-tor-2026-09-12,1789240871200.0,-1,moneyline,131.889,18.402221435546874
mlb-bal-tor-2026-09-12,1789241093000.0,-1,moneyline,210.39,55.50119702148437
mlb-bal-tor-2026-09-12,1789241176000.0,1,moneyline,71.331,49.2077353515625
mlb-bal-tor-2026-09-12,1789241230400.0,-1,moneyline,43.597,191.03083862304686
mlb-bal-tor-2026-09-12,1789241296000.0,-1,moneyline,43.467,105.03926831054687
mlb-bal-tor-2026-09-12,1789241345400.0,1,moneyline,29.066,60.29438745117187
mlb-bal-tor-2026-09-12,1789241543600.0,-1,moneyline,184.706,123.95706640625
mlb-bal-tor-2026-09-12,1789242103000.0,1,moneyline,70.599,40.91699389648438
mlb-bal-tor-2026-09-12,1789242133000.0,-1,moneyline,23.148,65.96959008789062
mlb-bal-tor-2026-09-12,1789242198800.0,1,moneyline,47.818,33.92514331054687
mlb-bal-tor-2026-09-12,1789242398800.0,-1,moneyline,186.508,34.037467041015624
mlb-bal-tor-2026-09-12,1789242447800.0,-1,moneyline,45.375,147.4057099609375
