sec_from_play_end,mean_abs_tick_move,null_mean_abs_tick_move,ratio
-147.5,0.020199278684421663,0.02374350089683301,0.8507287435070668
-142.5,0.027172128985956556,0.020832403221478064,1.3043204231925714
-137.5,0.018866655473700828,0.011873614353438219,1.5889563962667903
-132.5,0.01698843202967611,0.025996298601643906,0.6534942643181452
-127.5,0.049995376173130886,0.02676528192435702,1.8679189075768317
-122.5,0.049944460226429836,0.017492604276372326,2.855175789570167
-117.5,0.038764366676548014,0.028098153266020946,1.3796054961172735
-112.5,0.03159305996916913,0.015732867369014355,2.0080929450527996
-107.5,0.02373214053068921,0.01530416139608456,1.5506985267916005
-102.5,0.02518338993999851,0.02331341228758295,1.080210379731136
-97.5,0.037913678939301504,0.0253916695765737,1.4931542341067867
-92.5,0.08036599797566259,0.027599074106870427,2.911909206246036
-87.5,0.07597722630780289,0.017495346717812398,4.342710523733079
-82.5,0.044339832898091396,0.011262502319489914,3.9369432866939977
-77.5,0.026802330839240718,0.014755100677548734,1.816479021388378
-72.5,0.014331415464125927,0.012116203777905968,1.1828305075439076
-67.5,0.03990148168830842,0.01491249425129758,2.675708101938512
-62.5,0.06137632709489297,0.006503234924403606,9.437814842667956
-57.5,0.038974530563231496,0.016704626905697365,2.3331578001265414
-52.5,0.03271957515596003,0.031685675553011675,1.0326298740646571
-47.5,0.024231153817246203,0.015896308291013593,1.5243258606744823
-42.5,0.07292050973576292,0.01340186041607349,5.441073662303323
-37.5,0.06350026675524613,0.014961137764880226,4.2443474388897515
-32.5,0.06735627273868809,0.026795353336880604,2.5137295967648328
-27.5,0.057808462271181055,0.007435650357769595,7.774499806970663
-22.5,0.06502824348000878,0.013433348532352183,4.840806692642428
-17.5,0.06103277826514194,0.03321714918905248,1.837387607159761
-12.5,0.0460756110234393,0.02838611315108008,1.623174359173797
-7.5,0.043647212893874555,0.03327594659705129,1.3116745684927353
-2.5,0.026045370236453088,0.014711117164956197,1.770454952156629
2.5,0.11098294736196597,0.01607915670093563,6.902286570508265
7.5,0.07297136516867098,0.01534213828595562,4.756270854074484
12.5,0.08156474509015285,0.014215283326080276,5.737820570942044
17.5,0.09908728553179315,0.007429624134157267,13.336783091925888
22.5,0.08468204768640653,0.016512301296646163,5.128421905891846
27.5,0.10231505293724319,0.03133522243135505,3.2651771711970805
32.5,0.10166977064550986,0.020439790150461098,4.9741102964903146
37.5,0.08685740167053328,0.02545045699096388,3.4128032239802915
42.5,0.08543903603213569,0.01941926797709467,4.399704259342442
47.5,0.08431183837068379,0.017668318829287297,4.7719219460160005
52.5,0.05438505463996932,0.02560638231126483,2.1238866927345725
57.5,0.057160997016246995,0.029893346967467566,1.912164505314656
62.5,0.033594575933570035,0.018441120077358195,1.8217210122077718
67.5,0.046127718010493535,0.015618048337899225,2.953487978299992
72.5,0.04327003796358233,0.023154413733858042,1.8687598166352957
77.5,0.058994633536884396,0.019438489654505495,3.0349391637642227
82.5,0.051819843252894106,0.025836636799895178,2.005672938557713
87.5,0.0421296791814025,0.01995404984459537,2.1113347671031044
92.5,0.027578198251920566,0.02177744565196532,1.266365151021821
97.5,0.055092666701724136,0.01976123080310466,2.787916767465142
102.5,0.08870971845462917,0.024916339958845467,3.560302941810546
107.5,0.04332083850685093,0.022313112333643612,1.9414969036628726
112.5,0.047829158366140385,0.017105797446633462,2.7960788449271328
117.5,0.052874983277999686,0.023391476733777575,2.260438016794706
122.5,0.028093064977373516,0.02413984028408156,1.1637634982986536
127.5,0.036853979439992045,0.026148478468022648,1.4094120040315656
132.5,0.03900037385996372,0.02211575354129155,1.763465747940602
137.5,0.026684713485606373,0.027273491526604018,0.9784120767807335
142.5,0.0340805657621887,0.033893846344971466,1.0055089474153156
147.5,0.02504859997166527,0.013323749947760784,1.8799962525471283
