model,threshold,precision,recall,f1,pr_auc,roc_auc,accuracy,balanced_accuracy,tp,fp,fn,tn,jumps_caught,jumps_missed,fp_per_hour,fp_per_day,predicted_jump_freq,actual_jump_freq,pr_auc_lift,n_params,pr_auc_ci_lo,pr_auc_ci_hi
0 prevalence,0.5,0.0,0.0,0.0,0.09892362890825218,0.5,0.9010763710917479,0.5,0,0,386,3516,0,386,0.0,0.0,0.0,0.09892362890825218,1.0,,,
1 time-of-day only,0.5086729526519775,0.0694006309148265,0.05699481865284974,0.06258890469416785,0.09407477123786223,0.4680332543457886,0.8311122501281394,0.4865463285528185,22,295,364,3221,22,364,4.536135315222963,295.0,0.08124038954382368,0.09892362890825218,0.9509838273837783,,,
2 logistic (snapshot),0.6269603849053383,0.17673888255416192,0.4015544041450777,0.2454473475851148,0.16855873273117272,0.6613541648246064,0.7557662737057919,0.5981037094673056,155,722,231,2794,155,231,11.101998974884674,722.0,0.22475653511019988,0.09892362890825218,1.703927914810974,,,
8 CNN-LSTM-Attention,0.546201184988022,0.173568281938326,0.5103626943005182,0.2590401051939514,0.26620972954472466,0.6874981579397219,0.7111737570476678,0.6217911309955377,197,938,189,2578,197,189,14.423372629420811,938.0,0.2908764736032804,0.09892362890825218,2.69106312094175,29388.0,,
