feature,attention_weight
rv_5,2.6116226
d_mid,1.9719201
ask_dist_2,1.8936377
levels_ask,1.8546633
bid_usd_4,1.4172596
bid_usd_1,1.3878475
bid_dist_5,1.3722148
rv_15,1.3714639
ask_dist_5,1.310494
ask_usd_1,1.3000379
log_bid_usd_within_2t,1.2726567
d_log_ask_depth,1.242369
bid_dist_1,1.2350795
ask_usd_9,1.1855563
bid_dist_2,1.1838274
bid_usd_2,1.1770002
bid_usd_7,1.135669
bid_usd_6,1.1353713
imbalance_l1,1.1243801
bid_gap_1,1.1118855
d_log_total_depth,1.0993128
ask_dist_4,1.067462
imbalance,1.063456
l1_ask_usd,1.0547417
ask_dist_1,1.024732
tod_cos,1.0184208
d_spread_ticks,1.0135348
bid_dist_4,1.0083616
ask_dist_3,1.0016932
ask_gap_1,0.9961364
reach_ask,0.9665049
ask_usd_10,0.9624059
ask_usd_8,0.9405336
d_imbalance,0.939639
near_frac_ask_2t,0.92181635
ask_usd_4,0.9026763
bid_usd_8,0.8768946
bid_gap_3,0.8707107
bid_usd_10,0.8696019
ask_usd_6,0.8485765
hhi_bid,0.8484637
entropy_bid,0.8424453
log_bid_depth,0.8413364
ask_gap_2,0.8255009
spread_ticks,0.8113171
hhi_ask,0.8003594
log_ask_depth,0.7994488
d_log_bid_depth,0.7988104
ask_usd_3,0.79758877
reach_bid,0.78348607
bid_usd_3,0.7833374
l1_bid_usd,0.7760502
ask_usd_5,0.7646038
near_frac_bid_2t,0.7643005
slope_bid,0.76027495
entropy_ask,0.7386625
bid_dist_3,0.7364117
bid_usd_5,0.7229595
ask_usd_7,0.7129035
ask_usd_2,0.7106925
tod_sin,0.68595326
bid_usd_9,0.6705277
mid,0.6624785
log_ask_usd_within_2t,0.65971327
levels_bid,0.6505951
ask_gap_3,0.62061954
slope_ask,0.61426324
bid_gap_2,0.56475276
log_total_depth,0.5099773
