model,threshold,precision,recall,f1,pr_auc,roc_auc,accuracy,balanced_accuracy,tp,fp,fn,tn,jumps_caught,jumps_missed,fp_per_hour,fp_per_day,predicted_jump_freq,actual_jump_freq,pr_auc_lift,n_params,pr_auc_ci_lo,pr_auc_ci_hi
0 prevalence,0.5,0.0,0.0,0.0,0.17596319723979298,0.5,0.824036802760207,0.5,0,0,612,2866,0,612,0.0,0.0,0.0,0.17596319723979298,1.0,,,
1 time-of-day only,0.5094159245491028,0.1846590909090909,0.31862745098039214,0.23381294964028773,0.18625537217028015,0.4657695132018846,0.6325474410580794,0.5091043744783328,195,861,417,2005,195,417,14.853364002300172,861.0,0.3036227717078781,0.17596319723979298,1.0584904973990759,,,
2 logistic (snapshot),0.49959267009005826,0.2413127413127413,0.6127450980392157,0.3462603878116344,0.27374685381283215,0.6506198431919873,0.5928694652098907,0.6006851798639903,375,1179,237,1687,375,237,20.339275445658423,1179.0,0.44680851063829785,0.17596319723979298,1.5557051594134481,,,
8 CNN-LSTM-Attention,0.5130850918653631,0.24809644670050762,0.6388888888888888,0.3574040219378428,0.3806862017726168,0.6882377456681672,0.5957446808510638,0.6127103202295108,391,1185,221,1681,391,221,20.442783208740654,1185.0,0.45313398504887864,0.17596319723979298,2.163442172818891,29388.0,,
