horizon_min,prevalence,precision,recall,f1,pr_auc,pr_auc_lift,fp_per_hour
1,0.0257744147552612,0.2666666666666666,0.2568807339449541,0.2616822429906542,0.1805635009503232,7.005532527696487,1.092456845589974
2,0.0453121234032296,0.3063063063063063,0.1808510638297872,0.2274247491638796,0.1670492898427714,3.6866356572215886,1.11352133044107
5,0.0989236289082521,0.173568281938326,0.5103626943005182,0.2590401051939514,0.2662097295447246,2.69106312094175,14.423372629420813
10,0.1759631972397929,0.2480964467005076,0.6388888888888888,0.3574040219378428,0.3806862017726168,2.163442172818891,20.442783208740654
