model,pr_auc,ci_lo,ci_hi,boot_median
0 prevalence,0.02577441475526129,0.01946828927172677,0.03480718949872999,0.025954938210999715
1 time-of-day only,0.024714070425028836,0.018427238532642484,0.04960511299817728,0.026891597460156128
2 logistic (snapshot),0.09035204844055705,0.054979365898521856,0.15997839334554853,0.09299976224201037
3 MLP snapshot,0.09650854114922941,0.05537963746355175,0.191507669165283,0.0994502935306573
4 MLP history,0.044804846477465576,0.03600394488040437,0.07830404452271389,0.04818861503167278
5 CNN,0.1350590020707257,0.0781222035621967,0.2220272762503562,0.13905636474394262
6 LSTM,0.1599023319096092,0.11047573022146165,0.2611130329440883,0.16856370976592547
7 CNN-LSTM,0.13259566405364429,0.08366532887787959,0.1990230232754986,0.1335409858144343
8 CNN-LSTM-Attention,0.18056350095032325,0.1163011285625948,0.2523382502649027,0.18371917484171613
