model,threshold,precision,recall,f1,pr_auc,roc_auc,accuracy,balanced_accuracy,tp,fp,fn,tn,jumps_caught,jumps_missed,fp_per_hour,fp_per_day,predicted_jump_freq,actual_jump_freq,pr_auc_lift,n_params,pr_auc_ci_lo,pr_auc_ci_hi
0 prevalence,0.5,0.0,0.0,0.0,0.0257744147552612,0.5,0.9742255852447388,0.5,0,0,109,4120,0,109,0.0,0.0,0.0,0.0257744147552612,1.0,,0.0194682892717267,0.0348071894987299
1 time-of-day only,0.5055239200592041,0.0,0.0,0.0,0.0247140704250288,0.4842667230782934,0.9742255852447388,0.5,0,0,109,4120,0,109,0.0,0.0,0.0,0.0257744147552612,0.958860585572908,,0.0184272385326424,0.0496051129981772
2 logistic (snapshot),0.9503992532481668,0.1588785046728972,0.1559633027522936,0.1574074074074074,0.090352048440557,0.7024516789881535,0.9569638212343344,0.5670593212790594,17,90,92,4030,17,92,1.276897611728541,90.0,0.0253014897138803,0.0257744147552612,3.505493695918493,,0.0549793658985218,0.1599783933455485
3 MLP snapshot,0.8681277635322899,0.1134453781512605,0.2477064220183486,0.1556195965417867,0.0965085411492294,0.6761534693150442,0.930716481437692,0.5982464148926695,27,211,82,3909,27,82,2.993615511941357,211.0,0.0562780799243319,0.0257744147552612,3.744354316698084,4481.0,0.0553796374635517,0.191507669165283
4 MLP history,0.7312506096017461,0.1578947368421052,0.0275229357798165,0.046875,0.0448048464774655,0.6179812060211989,0.9711515724757626,0.5118197203170928,3,16,106,4104,3,106,0.2270040198628517,16.0,0.0044927878931189,0.0257744147552612,1.7383458325981829,532625.0,0.0360039448804043,0.0783040445227138
5 CNN,0.4455544763545527,0.1343283582089552,0.2477064220183486,0.1741935483870967,0.1350590020707257,0.7458003028413646,0.9394655947032396,0.6027367061548053,27,174,82,3946,27,82,2.468668716008513,174.0,0.0475289666587845,0.0257744147552612,5.2400414656614585,54705.0,0.0781222035621967,0.2220272762503562
6 LSTM,0.9534080820950144,0.2467532467532467,0.1743119266055046,0.2043010752688172,0.1599023319096092,0.7384185445800303,0.9650035469378104,0.580117128351296,19,58,90,4062,19,90,0.8228895720028375,58.0,0.0182076140931662,0.0257744147552612,6.203917079318691,19441.0,0.1104757302214616,0.2611130329440883
7 CNN-LSTM,0.9650724454441996,0.3090909090909091,0.1559633027522936,0.2073170731707317,0.1325956640536442,0.6933753451500846,0.9692598723102388,0.5733700008907099,17,38,92,4082,17,92,0.5391345471742729,38.0,0.0130054386379758,0.0257744147552612,5.14446847048497,24593.0,0.0836653288778795,0.1990230232754986
8 CNN-LSTM-Attention,0.95597774869454,0.2666666666666666,0.2568807339449541,0.2616822429906542,0.1805635009503232,0.7049857486416674,0.9626389217309056,0.6190957067783023,28,77,81,4043,28,81,1.092456845589974,77.0,0.0248285646724994,0.0257744147552612,7.005532527696487,29388.0,0.1163011285625948,0.2523382502649027
