model,kind,name,auc,auc_drop,pnl,pnl_drop,quote_frac,base_auc,base_pnl
cnn_depth_flow,channel,bid_depth,0.9193847596484797,0.012729703138104398,-0.0020444465335458517,0.0005719214677810669,0.51045,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,ask_depth,0.9100810153946051,0.02203344739197899,-0.002963683567941189,0.001491158502176404,0.508375,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,d_bid_depth,0.9265347041774032,0.005579758609180807,-0.0022915778681635857,0.0008190528023988008,0.515,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,d_ask_depth,0.9275710535334658,0.004543409253118247,-0.0012414332013577223,-0.00023109186440706253,0.504125,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,scalar_dmid,0.8929507601946247,0.03916370259195934,-0.009276716969907284,0.007804191904142499,0.462475,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,scalar_rel_path,0.9274109401093036,0.0047035226772804695,-0.0023006084375083447,0.0008280833717435598,0.493,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,channel,scalar_spread,0.915705057343847,0.016409405442737057,-0.0006625573732890189,-0.0008099676924757659,0.485675,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,price_band,zero touch +/-1 tick,0.9206086105449023,0.011505852241681769,-0.0006677787168882787,-0.0008047463488765061,0.46095,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,price_band,zero near 2-5 ticks,0.9178173042699672,0.014297158516616837,-0.000758340407628566,-0.0007141846581362188,0.40915,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,price_band,zero deep 6-20 ticks,0.9291092973718531,0.003005165414730948,-0.0014319148613139987,-4.0610204450786114e-05,0.535175,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,time_band,zero last 1s (5 fine frames),0.8580741346722521,0.07404032811433192,0.0011572818038985133,-0.002629806869663298,0.141625,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,time_band,zero fine window (4.8s),0.8509458428101822,0.0811686199764019,0.0004271624784450978,-0.0018996875442098826,0.32075,0.932114462786584,-0.0014725250657647848
cnn_depth_flow,time_band,zero coarse window (38.4s),0.893049124004172,0.03906533878241203,-0.02875673770904541,0.027284212643280625,0.66025,0.932114462786584,-0.0014725250657647848
