session,dataset,slice,n,move,path,cost,oracle,pct_worth,big4
books_2026-09-10,BEFORE (merged assets),ALL,1464770,1.470293222775949,2.4233869688691048,3.360719446166041,-1.890426223390092,0.05418939492206968,0.06122667722577606
books_2026-09-10,BEFORE (merged assets),moneyline,372981,0.10699458242265614,0.1377256410186161,3.0440661864733225,-2.9370716040506664,0.0028607355334454034,0.001992058576710342
books_2026-09-10,BEFORE (merged assets),total,620314,0.21298222317006008,0.3530720787745177,3.501420096442531,-3.2884378732724704,0.000520704030539372,0.012351808922577921
books_2026-09-10,BEFORE (merged assets),spread,436152,4.540763549263426,7.515218159095654,3.4091462358261553,1.1316173134372702,0.17879775857957778,0.18633641482785818
books_2026-09-10,BEFORE (merged assets),first_inning_run,35323,0.03271237598980006,0.04366840525465603,3.6354873060307344,-3.602774930040934,5.662033236135096e-05,0.00019817116326472837
books_2026-09-10,AFTER  (fixed),ALL,1666300,0.21525100914496162,0.37668803334236145,3.3881522898549887,-3.172901280710027,0.0009662125667646883,0.0112134669627318
books_2026-09-10,AFTER  (fixed),moneyline,372981,0.10699458242265614,0.13772563636302948,3.0440661864733225,-2.9370716040506664,0.0028607355334454034,0.001992058576710342
books_2026-09-10,AFTER  (fixed),total,620314,0.21298222317006008,0.3530721068382263,3.501420096442531,-3.2884378732724704,0.000520704030539372,0.012351808922577921
books_2026-09-10,AFTER  (fixed),spread,637682,0.29088865006549425,0.5578770041465759,3.4655252719581013,-3.174636621892608,0.00034186318572580065,0.016109910582390596
books_2026-09-10,AFTER  (fixed),first_inning_run,35323,0.03271237598980006,0.04366840422153473,3.6354873060307344,-3.602774930040934,5.662033236135096e-05,0.00019817116326472837
