session,horizon_s,n,move,exit_spread,cost,oracle,worth,need
books_2026-09-10,5,820246,0.43436231338574355,2.342546170723644,3.5179645888646998,-3.083602275478956,0.0019250322464236338,1.0
books_2026-09-10,10,819920,0.6953779630718991,2.90052513075724,3.7984087966933147,-3.103030833621416,0.006171333788662308,1.0
books_2026-09-10,20,819050,0.8865038808032109,2.6264575775573777,3.6607543588142737,-2.774250478011063,0.023725047310908978,1.0
books_2026-09-10,30,818289,1.1212690265315821,2.758290519731891,3.7271176788413287,-2.6058486523097466,0.04207804333187908,1.0
books_2026-09-10,60,815960,1.6754304422723165,2.8430913524556733,3.7697815949247477,-2.0943511526524308,0.09185866954262464,1.0
books_2026-09-10,120,809309,2.627008583536011,2.8648735343045026,3.7842082303566453,-1.1571996468206345,0.19422247868243156,1.0
books_2026-09-10,300,790393,4.615726449934167,2.9675182539089344,3.842400411469212,0.7733260384649554,0.4432718913249485,0.9162292169116755
books_2026-09-10,600,762126,6.57763944900337,3.0382031967721135,3.880924929152226,2.6967145198511435,0.5772890571900184,0.7950089435002594
books_2026-09-13,5,2012182,0.6974375118881477,3.1984451383324575,4.0716136704498,-3.3741761585616525,0.002069395313147618,1.0
books_2026-09-13,10,2011478,1.0414629011015615,4.02219530605991,4.4851217838640025,-3.4436588827624424,0.007302590433502131,1.0
books_2026-09-13,20,2010122,1.2211125525010338,3.7041444367459238,4.325499034409655,-3.1043864819086213,0.027275458902494474,1.0
books_2026-09-13,30,2008949,1.517145778765123,3.862197684268565,4.40470973002499,-2.8875639512598674,0.05027504431421604,1.0
books_2026-09-13,60,2001968,2.171675936462841,3.9435375361566916,4.445833386953616,-2.2741574504907747,0.11249630363722098,1.0
books_2026-09-13,120,1981555,3.2852422664109713,4.240440973839248,4.595648915701658,-1.310406649290687,0.2227513240863867,1.0
books_2026-09-13,300,1918200,5.563531428908922,4.291491148902107,4.623682310042846,0.9398491188660748,0.4609852987175477,0.9155348423141386
books_2026-09-13,600,1828861,7.873949251757712,4.304181358713273,4.629206506201991,3.2447427455557207,0.5960004614894189,0.7939570956193683
