model,auc,brier,base_rate,pnl_always,best_threshold,quote_frac,pnl_per_quote,pnl_per_opp,gain_per_quote
gate_rv25_only,0.8440800706900646,0.1758973426727668,0.3044266666666667,-0.028889997,0.8,0.7999933333333333,0.00010602111433399841,8.481617987854406e-05,0.02899601804529084
gate_rv150_only,0.8837702019893589,0.1688137479072908,0.3044266666666667,-0.028889997,0.75,0.7499,0.006352775264531374,0.004763945937156677,0.035242772195488214
gate_spread_only,0.7352105534272219,0.22906698420639127,0.3044266666666667,-0.028889997,0.05,0.047426666666666666,-0.034619204699993134,-0.0016418735031038523,-0.005729207769036293
gate_staleness_only,0.15814485532234707,0.4779696794928672,0.3044266666666667,-0.028889997,0.1,0.10844,-0.07691493630409241,-0.008340655826032162,-0.04802493937313557
logreg_hand,0.8977687394846761,0.11821326613426208,0.3044266666666667,-0.028889997,0.15000000000000002,0.4545666666666667,0.0028191455639898777,0.0012814896181225777,0.03170914249494672
lightgbm_hand,0.9269449348381038,0.09674926273862694,0.3044266666666667,-0.028889997,0.15000000000000002,0.5255933333333334,0.0037358468398451805,0.0019635362550616264,0.03262584377080202
