model,tau,trade_frac,hit,pnl_per_opp,pnl_lo,pnl_hi,profitable,pnl_per_trade,pnl_maker_exit,pnl_mk_lo,pnl_mk_hi,sign_auc,n_test,val_pnl_per_opp,nparam
momentum_dmid25,0.95,0.05004,0.7027360118314026,0.3264524958982525,0.1661437899251473,0.5264726890231651,True,6.523830853282425,0.5250806858256271,0.3047928578467301,0.7901048795078638,0.6109395210216344,150000,0.3776158297795117,
gbm_direction,0.75,0.23298,0.7801345649446916,0.2183574401668021,-0.1094703961606178,0.5379605030501705,False,0.9372368450802732,0.8911459449117757,0.501613460537869,1.2999965572694283,0.6967468594476945,150000,0.0081705768765291,
cnn_direction,0.9,0.16708,0.8918486521078314,1.4764256853360604,0.857853941244443,2.2243937943461285,True,8.836639246684587,2.1692304324618616,1.3901166230845554,3.0410956515956786,0.7896407167511115,150000,1.2509313043820727,124107.0
