model,kind,name,auc,auc_drop,pnl,pnl_drop,quote_frac,base_auc,base_pnl
cnn_depth_raw,channel,bid_depth,0.9114904748311693,0.019689019131854724,-0.002029922092333436,3.094715066254139e-05,0.5247,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,channel,ask_depth,0.9045535308968657,0.026625963066158276,-0.0029853112064301968,0.0009863362647593021,0.5242,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,channel,scalar_dmid,0.8729085704970517,0.05827092346597229,-0.02014976367354393,0.018150788731873035,0.48535,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,channel,scalar_rel_path,0.9257152254330508,0.005464268529973171,-0.001390041084960103,-0.0006089338567107916,0.483475,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,channel,scalar_spread,0.9165360240527707,0.014643469910253337,-0.0018919268622994423,-0.00010704807937145233,0.475025,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,price_band,zero touch +/-1 tick,0.9209992984845751,0.01018019547844895,-0.002067354042083025,6.837910041213036e-05,0.461925,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,price_band,zero near 2-5 ticks,0.9180553129465295,0.013124181016494485,-0.002108481712639332,0.0001095067709684372,0.4215,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,price_band,zero deep 6-20 ticks,0.9277877049142216,0.0033917890488024405,-0.0016854183049872518,-0.00031355663668364286,0.542625,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,time_band,zero last 1s (5 fine frames),0.8636875275106952,0.0674919664523288,-0.002464885590597987,0.00046591064892709255,0.1634,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,time_band,zero fine window (4.8s),0.8609401973899329,0.07023929657309114,-0.007122142240405083,0.005123167298734188,0.455925,0.931179493963024,-0.0019989749416708946
cnn_depth_raw,time_band,zero coarse window (38.4s),0.8839681590956989,0.047211334867325094,-0.03349265828728676,0.031493683345615864,0.677825,0.931179493963024,-0.0019989749416708946
