ts,cash
1788861461200,50.0
1788861515600,53.03669810391159
1788861547200,56.07339620782318
1788861563800,57.74522954030053
1788861577400,60.78192764421212
1788861592200,63.81862574812371
1788861602200,66.8553238520353
1788861612800,67.59321415597057
1788861656800,70.62991225988216
1788861677800,73.66661036379375
1788861692800,75.3384436962711
1788861708800,77.01027702874845
1788861739800,78.6821103612258
1788861781800,80.35394369370314
1788861801400,82.02577702618049
1788861822200,83.69761035865784
1788861854200,85.36944369113519
1788861868600,88.40614179504678
1788861906400,90.07797512752413
1788861931600,89.74839974677275
1788861942400,89.3802332357719
1788862025000,89.05065785502052
1788862035000,88.55729861930854
1788862138800,90.22913195178589
1788862148800,91.90096528426324
1788862172600,93.57279861674058
1788862184200,96.60949672065217
1788862199000,100.95168440761131
1788862225400,103.9883825115229
1788862237800,107.02508061543449
1788862252400,110.06177871934608
1788862264800,111.73361205182343
1788862274800,114.77031015573502
1788862288800,114.40214364473417
1788862298800,113.90878440902219
1788862317600,113.54061789802134
1788862339200,113.04725866230936
1788862427000,112.1627587368703
1788862437000,111.27825881143124
1788862447800,110.39375888599218
1788862457800,109.50925896055313
1788862473000,108.62475903511407
1788862483800,107.74025910967501
1788862493800,109.41209244215236
1788862504600,108.5275925167133
1788862514600,107.64309259127424
1788862524800,106.75859266583518
1788862534800,105.87409274039612
1788862544800,104.98959281495706
1788862555000,104.105092889518
1788862565000,103.22059296407895
1788862575800,105.99421845163117
1788862585800,105.10971852619211
1788862595800,104.22521860075305
1788862605800,103.340718675314
1788862615800,102.45621874987494
1788862625800,101.57171882443588
1788862794600,104.3453443119881
1788862806400,106.01717764446545
1788862819200,105.6490111334646
1788862837200,107.32084446594195
1788862857600,106.92043760461576
1788862966400,108.8867112258099
1788862977000,108.30389891202398
1788863041400,107.9743235312726
1788863053600,107.65800518210553
1788863063600,107.32842980135415
1788863073600,106.99885442060277
1788863083600,106.66927903985139
1788863093800,106.35950234126537
1788863103800,105.95909547993918
1788863113800,105.55868861861299
1788863123800,105.1582817572868
1788863134800,104.84850505870078
1788863149200,104.48033854769993
1788863159200,103.98697931198795
1788863169200,103.67720261340193
1788863179200,103.18384337768995
1788863195600,102.87406667910393
1788863207000,102.38070744339196
1788863226400,101.88734820767998
1788863238000,101.60952018938458
1788863257800,101.1161609536726
1788863267800,100.78658557292123
1788863277800,100.45701019216985
1788863337200,100.14723349358383
1788863349200,99.26273356814477
1788863359600,98.37823364270571
1788863370400,97.49373371726665
1788863408000,97.18395701868063
1788863428800,96.93091839359566
1788863440600,96.60134301284428
1788863450600,97.84418929415514
1788863468600,97.51461391340376
1788863480800,97.18503853265238
1788863490800,97.92292883658766
1788863500800,98.66081914052293
1788863512000,101.26818525143483
1788863522000,100.77482601572285
1788863532000,100.46504931713683
1788863607400,99.97169008142485
1788863636400,99.66191338283883
1788863689800,98.77741345739977
1788863699800,97.89291353196072
1788863709800,97.00841360652166
1788863719800,96.51505437080968
1788863729800,95.63055444537062
1788863739800,96.3684447493059
1788863749800,95.87508551359392
1788863759800,95.5653088150079
1788863769800,95.07194957929592
1788863779800,94.57859034358394
1788863790600,94.96568031190529
1788863804400,94.6878522936099
1788863820000,94.4100242753145
1788863830000,94.1321962570191
1788863842000,93.85436823872371
1788863852000,93.46147061728772
1788863862000,93.18364259899232
1788863872000,92.79074497755633
1788863882400,92.39784735612034
1788863895400,92.08807065753432
1788863905400,91.20357073209526
1788863916200,90.3190708066562
1788863926200,90.00929410807018
1788863936200,89.12479418263112
1788863946800,88.24029425719206
1788863956800,87.355794331753
1788863978000,87.04601763316698
1788864063400,86.16151770772792
1788864074400,85.27701778228887
1788864085600,84.3925178568498
1788864096800,83.50801793141075
1788864106800,82.62351800597169
1788864116800,81.73901808053263
1788864126800,80.85451815509357
1788864137000,79.97001822965451
1788864196200,79.08551830421546
1788864206200,78.2010183787764
1788864216200,77.31651845333734
1788864226200,76.43201852789828
1788864288400,75.54751860245922
1788864299200,74.66301867702016
1788864310400,73.7785187515811
1788864321600,72.89401882614204
1788864356800,75.50138493705394
1788864368200,75.19160823846792
1788864378200,77.79897434937982
1788864388200,76.91447442394076
1788864398200,76.60469772535474
1788864408200,76.29492102676872
1788864418200,75.96534564601734
1788864438600,75.08084572057828
1788864449000,74.19634579513922
1788864459000,73.31184586970016
1788864469600,72.4273459442611
1788864479600,71.54284601882205
1788864489600,71.23306932023603
1788864499600,70.34856939479697
1788864509600,72.95593550570887
1788864520000,72.64615880712284
1788864530000,71.76165888168379
1788864540000,71.45188218309777
1788864550000,71.14210548451175
1788864560000,70.64874624879977
1788864570000,70.15538701308779
1788864580000,69.27088708764873
1788864590000,68.87798946621274
1788864600000,67.99348954077368
1788864610800,67.10898961533462
1788864622000,66.7992129167486
1788864632000,66.48943621816258
1788864642000,69.09680232907448
1788864652000,71.70416843998638
1788864671000,74.31153455089827
1788864681000,74.00175785231225
1788864786800,75.6735911847896
1788864809600,77.34542451726695
1788864820200,76.46092459182789
1788864830200,78.13275792430524
1788864841000,77.24825799886618
1788864852000,78.92009133134353
1788864862200,78.03559140590447
1788864872200,77.15109148046541
1788864882200,76.26659155502635
1788864892600,75.3820916295873
1788864911800,77.05392496206464
1788864921800,76.16942503662558
1788864931800,75.28492511118652
1788864941800,74.40042518574747
1788864952600,73.5159252603084
1788865080200,76.1232913712203
1788865117200,75.23879144578125
1788865127200,74.35429152034219
1788865137200,73.46979159490313
1788865187800,73.10162508390228
1788865200600,74.77345841637963
1788865210600,76.44529174885697
1788865220600,79.2189172364092
1788865230600,80.89075056888655
1788865240600,82.5625839013639
1788865250600,84.23441723384124
1788865260800,83.34991730840218
1788865306600,85.02175064087953
1788865362600,84.52839140516755
1788865516200,83.6438914797285
1788865527200,82.75939155428944
1788865537800,82.39122504328859
1788865547800,81.50672511784953
1788865558800,80.62222519241047
1788865570000,79.73772526697141
1788865596600,81.40955859944876
1788865611400,80.5250586740097
1788865622000,79.64055874857064
1788865632000,78.75605882313158
1788865642800,77.87155889769252
1788865661400,77.50339238669167
1788865672600,76.61889246125261
1788865683400,75.73439253581356
1788865693400,75.24103330010158
1788865732200,74.96320528180618
1788865751000,74.6336299010548
1788865806000,74.14027066534283
1788865816000,73.74737304390683
1788865827200,72.86287311846777
1788865866200,73.60076342240305
1788865876200,74.33865372633832
1788865886400,73.84529449062634
1788865899200,73.35193525491437
1788865911400,72.85857601920239
1788865926000,72.36521678349041
1788865946200,71.87185754777843
1788865959800,72.25894751609978
1788865969800,71.37444759066072
1788865979800,70.48994766522166
1788865990200,70.00608372565716
1788866000200,69.52221978609266
1788866010200,69.24439176779727
1788866020200,68.87622525679642
1788866035800,68.39236131723192
1788866045800,71.16598680478414
1788866055800,70.28148687934508
1788866065800,69.39698695390602
1788866075800,68.51248702846696
1788866134800,68.14432051746611
1788866194600,67.83454381888009
1788866249600,67.46637730787924
1788866273400,66.98251336831474
1788866314400,68.65434670079209
1788866324800,68.28618018979124
1788866353200,67.91801367879039
1788866376800,72.68061318140442
1788866386800,77.44321268401846
1788866396800,76.87331257766876
1788866406800,79.30321031110486
1788866416800,78.94632265977597
1788866433600,78.58943500844708
1788866443600,83.35203451106112
1788866453600,88.11463401367516
1788866463600,87.75774636234627
1788866502600,87.42817098159489
1788866589000,87.0352733601589
1788866604000,86.15077343471984
1788866614000,85.26627350928078
1788866624000,84.38177358384172
1788866634600,83.49727365840266
1788866645800,82.6127737329636
1788866655800,81.72827380752454
1788866708400,80.84377388208549
1788866719200,79.95927395664643
1788866730400,79.07477403120737
1788866741600,78.19027410576831
1788866772600,77.79737648433232
1788866787200,77.51325156075417
1788866797200,79.18508489323152
1788866816400,81.79245100414342
1788866826600,84.39981711505531
1788866836600,83.51531718961625
1788866846600,82.6308172641772
1788866856800,86.72513532068646
1788866866800,89.33250143159836
1788866880600,89.04837650802021
1788866890600,88.65547888658422
1788866900600,88.32590350583284
1788866910600,87.44140358039378
1788866920600,86.55690365495472
1788866930600,85.67240372951566
1788866940600,85.10250362316596
1788866950600,84.2180036977269
1788866960800,83.6481035913772
1788866970800,83.07820348502749
1788866989400,82.58484424931551
1788867000600,82.03901054489727
1788867055000,84.46890827833337
1788867065000,83.89900817198367
1788867075000,86.32890590541977
1788867085000,85.75900579907007
1788867095000,85.40211814774118
1788867105000,85.04523049641229
1788867115000,84.76110557283414
1788867125000,84.19120546648443
1788867135200,83.62130536013473
1788867145200,83.26441770880584
1788867155200,84.85029278909703
1788867167200,87.28019052253313
1788867177200,86.71029041618343
1788867187200,86.14039030983372
1788867197200,85.57049020348401
1788867207200,85.28636527990587
1788867217200,84.4018653544668
1788867227200,83.51736542902775
1788867237400,82.63286550358869
1788867247600,81.74836557814963
1788867257600,84.52199106570185
1788867267600,84.03812712613735
1788867277600,83.64522950470136
1788867287600,82.7607295792623
1788867297600,81.87622965382324
1788867307600,80.99172972838419
1788867317600,83.76535521593641
1788867346400,85.3512302962276
1788867356400,90.11382979884164
1788867366400,89.22932987340258
1788867376800,88.34482994796352
1788867394800,87.46033002252446
1788867405400,86.5758300970854
1788867417400,86.08247086137342
1788867427800,85.19797093593436
1788867456000,84.70461170022239
1788867469000,84.21125246451041
1788867479000,83.81835484307442
1788867493200,84.55624514700969
1788867503200,84.06288591129771
1788867514400,83.54718846391509
1788867545400,85.13306354420628
1788867555800,86.71893862449747
1788867565800,86.43481370091932
1788867577200,86.10523832016794
1788867587800,87.69111340045913
1788867600600,89.27698848075032
1788867610600,88.99286355717217
1788867638600,88.10836363173311
1788867648600,87.22386370629405
1788867658600,86.339363780855
1788867668600,85.45486385541594
1788867678800,84.57036392997688
1788867688800,83.68586400453782
1788867707600,82.80136407909876
1788867718200,81.9168641536597
1788867728200,81.03236422822064
1788867738200,80.63946660678465
1788867748800,79.75496668134559
1788867850800,78.87046675590653
1788867860800,77.98596683046748
1788867871800,77.10146690502842
1788867886400,76.21696697958936
1788867896800,75.3324670541503
1788867906800,74.44796712871124
1788867917600,73.56346720327218
1788868037400,73.15543161433361
1788868066400,74.7413066946248
1788868079200,74.45718177104665
1788868109400,73.9113480666284
1788868119400,73.02684814118935
1788868129400,72.14234821575029
1788868139400,74.91597370330251
1788868149400,74.03147377786345
1788868159400,73.1469738524244
1788868169400,72.26247392698534
1788868179400,71.37797400154628
1788868189400,70.49347407610722
1788868199400,69.94764037168898
1788868209400,69.06314044624992
1788868219400,68.17864052081086
1788868229400,67.63280681639262
1788868239400,70.24017292730451
1788868249400,72.97767300476296
1788868259400,72.0931730793239
1788868269400,71.20867315388485
1788868279400,70.32417322844579
1788868289400,73.06167330590424
1788868299400,72.17717338046518
1788868309400,74.9507988680174
1788868319400,74.06629894257834
1788868329400,73.5204652381601
1788868355600,72.97463153374186
1788868365600,72.0901316083028
1788868388400,74.82763168576125
1788868399800,73.94313176032219
1788868409800,73.05863183488313
1788868419800,72.17413190944407
1788868429800,71.28963198400501
1788868506000,70.40513205856595
1788868516000,69.5206321331269
1788868526000,68.63613220768784
1788868536000,67.75163228224878
1788868569400,70.525257769801
1788868579400,69.64075784436194
1788868589400,68.75625791892288
1788868599400,67.87175799348383
1788868609400,66.98725806804477
1788868624000,66.10275814260571
1788868635000,65.21825821716665
1788868646200,64.33375829172759
1788868657400,63.44925836628853
1788868672000,62.564758440849474
1788868682400,61.680258515410415
1788868692400,60.795758589971356
1788868703200,59.9112586645323
1788868853400,59.633430646236896
1788868870800,58.74893072079784
1788868881400,57.86443079535878
1788868891400,56.97993086991972
1788868902200,56.09543094448066
1788868912200,55.2109310190416
1788868922200,54.326431093602544
1788868932200,53.441931168163485
1788868942400,52.55743124272443
1788868952600,51.67293131728537
1788868962600,51.17957208157339
1788868972600,50.29507215613433
1788868987400,49.96549677538295
1788869009000,54.05981483189222
1788869022000,56.667180942804116
1788869032000,56.27428332136812
1788869042000,55.964506622782096
1788869052000,58.57187273369399
1788869106000,58.30030023377715
1788869133000,58.02872773386031
1788869143600,57.757155233943465
1788869243800,57.26379599823149
1788869310200,60.03742148578371
1788869320200,59.15292156034465
1788869330200,58.26842163490559
1788869340400,57.383921709466534
1788869350400,56.499421784027476
1788869405400,55.61492185858842
1788869415400,54.73042193314936
1788869425400,53.8459220077103
1788869435600,52.96142208227124
1788869446200,52.07692215683218
1788869473400,51.192422231393124
1788869483400,50.307922305954065
1788869493400,49.42342238051501
1788869504200,48.53892245507595
1788869514200,47.65442252963689
1788869524200,46.76992260419783
1788869534200,45.88542267875877
1788869544200,48.659048166310995
1788869554200,47.77454824087194
1788869564600,46.89004831543288
1788869574600,46.00554838999382
1788869584600,45.12104846455476
1788869667600,44.2365485391157
1788869677600,43.32207496269629
1788869688000,42.43757503725723
1788869698000,41.553075111818174
1788869708200,40.668575186379115
1788869718200,39.78407526094006
1788869737800,39.08481037421586
1788869835400,38.38554548749167
1788869845400,37.50104556205261
1788869855400,37.19126886346659
1788869865400,36.88149216488057
1788869875400,35.99699223944151
1788869885800,35.11249231400245
1788869895800,34.22799238856339
1788869905800,33.343492463124335
1788870046800,32.952001397536534
1788870056800,32.067501472097476
1788870066800,31.183001546658417
1788870076800,30.29850162121936
1788870086800,29.4140016957803
1788870206200,28.52950177034124
1788870229400,31.30312725789346
1788870239400,30.993350559307444
1788870249400,33.76697604685967
1788870270200,33.43740066610829
1788870302400,33.10782528535691
1788870312400,32.22332535991785
1788870322400,31.338825434478792
1788870349600,30.454325509039734
1788870359800,29.569825583600675
1788870369800,28.685325658161617
1788870382400,28.355750277410237
1788870394400,28.02617489665886
1788870421400,27.63327727522286
1788870509200,26.7487773497838
1788870519200,25.864277424344742
1788870530400,24.979777498905683
1788870540400,24.586879877469684
1788870550400,25.32477018140495
1788870560400,24.831410945692976
1788870570400,23.946911020253918
1788870580400,23.06241109481486
1788870612400,22.1779111693758
1788870622400,21.293411243936742
1788870632400,20.408911318497683
1788870642400,20.079335937746308
1788870652600,19.19483601230725
1788870666800,18.31033608686819
1788870676800,21.08396157442041
1788870807800,20.19946164898135
1788870817800,19.314961723542293
1788870827800,18.430461798103234
1788870838000,17.545961872664176
1788870848600,16.661461947225117
1788870858600,15.776962021786058
1788870869400,14.892462096347
1788870879400,14.007962170907941
1788870890600,13.123462245468883
1788870920600,12.630103009756908
1788870967200,11.74560308431785
1788870978200,10.861103158878791
1788870988200,9.976603233439732
1788870999400,12.750228720991952
1788871166400,15.523854208544172
1788871176400,14.824589321819982
1788871187000,13.940089396380923
1788871197000,13.055589470941865
1788871207000,12.171089545502806
1788871217000,11.286589620063747
1788871227000,10.402089694624689
1788871237000,9.51758976918563
1788871247000,8.633089843746571
1788871257400,7.7485899183075135
1788871276600,6.864089992868456
1788871286600,5.979590067429398
1788871313800,5.280325180705207
1788871323800,4.581060293981016
1788871335400,4.29723914720243
1788871345400,6.61774827761723
1788871355400,6.3079715790312125
1788871371400,5.998194880445195
1788871381400,5.688418181859177
1788871391400,4.803918256420119
1788871445800,3.9541051884963343
1788871455800,6.147546574751517
1788871465800,5.263046649312459
1788871475800,4.563781762588269
1788871485800,3.925523295138226
1788871495800,3.6170575420279443
1788871513000,3.420598870221625
1788871528800,2.815494981088034
1788871538800,2.3174339609187524
1788871548800,1.907479927790237
1788871558800,1.570046757008844
1788871568800,1.2923055091068125
1788871578800,1.0636966838169206
1788871590000,0.8755287563117528
1788871600600,0.7206477323762535
1788871610600,0.593165159265329
1788871627400,0.5465545232265184
1788871687400,0.5036065287943614
1788871806800,0.4683591174399708
1788871830200,0.4374871905482393
1788871849400,0.7957295312988727
1788871859400,0.7332014832681311
1788871870000,0.6755868595062522
1788871889600,0.9412645836407608
1788871915800,0.875385493366988
1788871931200,0.814117279366189
1788871944600,1.2657285665475357
1788871958200,1.0418212020000595
1788871968200,0.8575230469020829
1788871978200,0.7058272326926497
1788871989400,0.5809664057547486
1788872005400,1.05669865481614
1788872015400,0.8697686785368541
1788872026200,0.7159066122738391
1788872036200,0.5892627432383313
1788872098400,0.48502217274666753
1788872108400,0.39922175762052403
1788872118400,0.3285994346507234
1788872128400,0.2704701995611471
1788872138400,0.22262402529208275
1788872161800,0.18324183853772472
1788872172000,0.15082636003293803
1788872182000,0.1241451791922624
1788872192000,0.10218389884442748
1788872203200,0.1588678720948999
1788872214400,0.13076414789037974
1788872225600,0.10763197207855117
1788872236800,0.08859187782288372
1788872248200,0.07291997595711436
1788872259400,0.06002043329769725
1788872270600,0.049402819542370614
1788872284400,0.07680780343030304
1788872294400,0.06322050414885487
1788872305000,0.05203679790767851
1788872315000,0.04283148913379271
1788872325000,0.035254599344736015
1788872497600,0.03307038866573899
1788872508600,0.05141536324304934
1788872518600,0.048296616369471995
1788872528600,0.04536704606585233
1788872538600,0.04261517728273245
1788872548600,0.040030231022814056
1788872640000,0.06223600483031019
1788872651400,0.0967598786784645
1788872676600,0.07964305758314567
1788872727400,0.0753172847333705
1788872737400,0.07122646407297249
1788872747400,0.06717902134067742
1788872757400,0.08343045315257752
1788872767400,0.07868951892736419
1788872777400,0.07350269329503843
1788872787400,0.06865775766924563
1788872800800,0.07402965599557608
1788872828800,0.06982292192512408
1788872841400,0.06433626993590556
1788872851600,0.10002521354955904
1788872861600,0.08233075476423687
1788872871600,0.0677664454741751
1788872894800,0.0639156182458725
1788872905400,0.05497682873535116
1788872915400,0.047288155551735045
1788872925400,0.038922881539803
1788872935400,0.03203742437583719
1788872953400,0.03398330248920269
1788873001200,0.03213751640671809
1788873011200,0.05845375914979583
1788873023400,0.055278872449426426
1788873033400,0.05093508494921772
1788873043400,0.04192466918125469
1788873053400,0.0345081958282793
1788873065200,0.06276570168373563
1788873086000,0.06657794338405545
1788873178600,0.06218945317596671
1788873254400,0.05841717286073912
1788873383800,0.05382677920713914
1788873393800,0.08189600319998548
1788873462000,0.07546065422750765
1788873810000,0.07088337100697228
1788873836600,0.06658373607739695
1788873918200,0.06135161777117065
1788873955200,0.05763015877440634
1788874031200,0.054134435586537126
1788874041200,0.050850755552219545
1788874051400,0.047766256583538814
1788874098600,0.04534891500526792
1788874474800,0.042359737819363315
1788874783000,0.03973532587243298
1788874800400,0.0372735102592326
1788874858800,0.0677954314760045
1788874869600,0.06246809872177463
1788875125000,0.08703397365833015
1788875135000,0.08129712265698026
1788875145000,0.07490883343267664
1788875166400,0.06902253293662784
1788875346200,0.064835772497245
1788875509800,0.05974100833761839
1788875742200,0.05603973387101295
1788875763000,0.10192863272502542
1788875774400,0.09520999913706191
1788875799800,0.08979969239132317
1788876045800,0.08435263353131389
1788876057800,0.07923598170761283
1788876067800,0.07442969513024714
1788876083600,0.09243515414185838
1788876093600,0.08682823376232507
1788876103600,0.08156141727978077
1788876407000,0.14834909397639945
1788876417000,0.24135138149830015
1788876427000,0.2223861047541053
1788876437000,0.20974901775048468
1788876447000,0.195923395273016
1788876457000,0.18479005133119245
1788876469800,0.17475327209123775
1788876483400,0.163234396853834
1788876496800,0.15395860474754974
1788876786000,0.14520990938593042
