ts_signal,ts_in,ts_out,sid,side,px_in,px_out,shares,stake,fee,pnl,cash,move_ticks,edge
1788861510600,1788861510600,1788861515600,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,53.03669810391159,-34.99999940395355,-0.964502215385437
1788861542200,1788861542200,1788861547200,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,56.07339620782318,-34.99999940395355,-0.9777072668075562
1788861558800,1788861558800,1788861563800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,57.74522954030053,-24.49999898672104,-0.9357161521911621
1788861572400,1788861572400,1788861577400,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,60.78192764421212,-34.99999940395355,-0.9762277603149414
1788861587200,1788861587200,1788861592200,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,63.81862574812371,-34.99999940395355,-0.9764437675476074
1788861597200,1788861597200,1788861602200,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,66.8553238520353,-34.99999940395355,-0.9635822176933289
1788861607800,1788861607800,1788861612800,37,1.0,0.3199999928474426,0.38999997079372406,15.625000349245973,5.0,0.35585937592259076,0.7378903039352671,67.59321415597057,7.999998331069946,0.9774734377861023
1788861651800,1788861651800,1788861656800,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,70.62991225988216,-34.99999940395355,-0.9645364284515381
1788861672800,1788861672800,1788861677800,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,73.66661036379375,-34.99999940395355,-0.9765039682388306
1788861687800,1788861687800,1788861692800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,75.3384436962711,-24.49999898672104,-0.9590663313865662
1788861703800,1788861703800,1788861708800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,77.01027702874845,-24.49999898672104,-0.9616109728813171
1788861734800,1788861734800,1788861739800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,78.6821103612258,-24.49999898672104,-0.9355382323265076
1788861776800,1788861776800,1788861781800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,80.35394369370314,-24.49999898672104,-0.9354926347732544
1788861796400,1788861796400,1788861801400,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,82.02577702618049,-24.49999898672104,-0.9693005084991455
1788861817200,1788861817200,1788861822200,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,83.69761035865784,-24.49999898672104,-0.968953549861908
1788861849200,1788861849200,1788861854200,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,85.36944369113519,-24.49999898672104,-0.9672641754150391
1788861863600,1788861863600,1788861868600,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,88.40614179504678,-34.99999940395355,-0.9642280340194702
1788861901400,1788861901400,1788861906400,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,90.07797512752413,-24.49999898672104,-0.9355241656303406
1788861926600,1788861926600,1788861931600,31,-1.0,0.4699999988079071,0.47999998927116394,9.433962242931775,5.0,0.23523584829133443,-0.32957538075137727,89.74839974677275,0.0,-0.9644595980644226
1788861937400,1788861937400,1788861942400,94,-1.0,0.4000000059604645,0.41999998688697815,8.333333416117563,5.0,0.2015000016242265,-0.36816651100085673,89.3802332357719,0.0,-0.9597343802452087
1788862020000,1788862020000,1788862025000,31,-1.0,0.4699999988079071,0.47999998927116394,9.433962242931775,5.0,0.23523584829133443,-0.32957538075137727,89.05065785502052,0.0,-0.9610631465911865
1788862030000,1788862030000,1788862035000,37,1.0,0.3199999928474426,0.3100000023841858,15.625000349245973,5.0,0.33710938123113016,-0.4933592357119746,88.55729861930854,0.0,0.9691411852836609
1788862133800,1788862133800,1788862138800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,90.22913195178589,-24.49999898672104,-0.9608080983161926
1788862143800,1788862143800,1788862148800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,91.90096528426324,-24.49999898672104,-0.957982063293457
1788862167600,1788862167600,1788862172600,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,93.57279861674058,-24.49999898672104,-0.9604707956314087
1788862179200,1788862179200,1788862184200,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,96.60949672065217,-34.99999940395355,-0.9755154848098755
1788862194000,1788862194000,1788862199000,9,1.0,0.23999999463558197,0.4699999988079071,20.83333379899463,5.0,0.4494791737330768,4.3421876869591305,100.95168440761131,23.999999463558197,0.9496724009513855
1788862220400,1788862220400,1788862225400,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,103.9883825115229,-34.99999940395355,-0.9775261282920837
1788862232800,1788862232800,1788862237800,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,107.02508061543449,-34.99999940395355,-0.9774465560913086
1788862247400,1788862247400,1788862252400,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,110.06177871934608,-34.99999940395355,-0.9774152636528015
1788862259800,1788862259800,1788862264800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,111.73361205182343,-24.49999898672104,-0.9557804465293884
1788862269800,1788862269800,1788862274800,31,-1.0,0.4699999988079071,0.12999999910593033,9.433962242931775,5.0,0.17084905587367505,3.036698103911589,114.77031015573502,-34.99999940395355,-0.9757266640663147
1788862283800,1788862283800,1788862288800,94,-1.0,0.4000000059604645,0.41999998688697815,8.333333416117563,5.0,0.2015000016242265,-0.36816651100085673,114.40214364473417,0.0,-0.9665870666503906
1788862293800,1788862293800,1788862298800,65,1.0,0.3199999928474426,0.3100000023841858,15.625000349245973,5.0,0.33710938123113016,-0.4933592357119746,113.90878440902219,0.0,0.9812266826629639
1788862312600,1788862312600,1788862317600,94,-1.0,0.4000000059604645,0.41999998688697815,8.333333416117563,5.0,0.2015000016242265,-0.36816651100085673,113.54061789802134,0.0,-0.9418732523918152
1788862334200,1788862334200,1788862339200,37,1.0,0.3199999928474426,0.3100000023841858,15.625000349245973,5.0,0.33710938123113016,-0.4933592357119746,113.04725866230936,0.0,0.9697983264923096
1788862422000,1788862422000,1788862427000,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,112.1627587368703,0.0,0.9663448929786682
1788862432000,1788862432000,1788862437000,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,111.27825881143124,0.0,0.9530699849128723
1788862442800,1788862442800,1788862447800,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,110.39375888599218,0.0,0.9545273184776306
1788862452800,1788862452800,1788862457800,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,109.50925896055313,0.0,0.949685275554657
1788862468000,1788862468000,1788862473000,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,108.62475903511407,0.0,0.9585161805152893
1788862478800,1788862478800,1788862483800,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,107.74025910967501,0.0,0.9548282623291016
1788862488800,1788862488800,1788862493800,94,-1.0,0.4000000059604645,0.1800000077486038,8.333333416117563,5.0,0.16150000416735807,1.6718333324773447,109.41209244215236,-24.49999898672104,-0.9618469476699829
1788862499600,1788862499600,1788862504600,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,108.5275925167133,0.0,0.9548274874687195
1788862509600,1788862509600,1788862514600,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,107.64309259127424,0.0,0.9335759282112122
1788862519800,1788862519800,1788862524800,101,1.0,0.19999999582767486,0.17999999940395356,25.000000521540652,5.0,0.3845000044152142,-0.8844999254390579,106.75859266583518,0.0,0.9505824446678162
