model,precision,recall,f1,pr_auc,pr_auc_lift,roc_auc,prevalence,tp,fp,fn
5 GBM (book at collapse only),0.4806550469258763,0.639525993883792,0.5488244942591579,0.5949317954194847,1.8654538253927981,0.726275141318707,0.31892067620286085,5019,5423,2829
6 GBM (instant + trajectory summaries),0.4679893967386939,0.7423547400611621,0.5740749864511997,0.6266919404990637,1.9650401722478288,0.7561232632426607,0.31892067620286085,5826,6623,2022
