model,prevalence,pr_auc,pr_auc_lift,roc_auc,precision,recall,f1,tp,fp,fn,min_move,pre_s
0 prevalence,0.31892067620286085,0.31892067620286085,1.0,0.5,,,,,,,0.02,20.0
1 logistic (book at collapse),0.31892067620286085,0.5927793751857691,1.858704748288915,0.7233911882449111,0.5168369716674408,0.5671508664627931,0.5408262454434994,4451.0,4161.0,3397.0,0.02,20.0
2 CNN,0.31892067620286085,0.6088931980963456,1.9092308637557176,0.745266237662363,0.4713407542781193,0.722986748216106,0.5706527205068893,5674.0,6364.0,2174.0,0.02,20.0
3 CNN-LSTM,0.31892067620286085,0.6099652419329296,1.9125923386194612,0.7459608303591629,0.4891698428929999,0.6704892966360856,0.5656543939801129,5262.0,5495.0,2586.0,0.02,20.0
4 CNN-LSTM-Attention,0.31892067620286085,0.6140302677010612,1.9253385356253458,0.7487488071387387,0.4490846261304316,0.7782874617737003,0.5695370413539094,6108.0,7493.0,1740.0,0.02,20.0
