epoch,train_loss,val_loss,val_pr_auc
1,1.3050372482928017,0.6227627396583557,0.12932930270176562
2,1.1633424589771038,0.6309014558792114,0.15938863200564596
3,1.0531372877966592,0.60772705078125,0.15275781258959062
4,0.9353140530719284,0.6621257662773132,0.16161651862101126
5,0.8764340400533556,0.6405724287033081,0.146186176791592
6,0.8098090553454048,0.5637708902359009,0.1554018616077308
7,0.6843886556330081,0.40480494499206543,0.15721697753983674
8,0.6387144829716639,0.4242832064628601,0.17882027103145526
9,0.5236316509456121,0.34428781270980835,0.15991937656026484
10,0.5068447760738212,0.562528669834137,0.11739435325270187
11,0.4157111811248491,0.5181464552879333,0.13280431540343704
12,0.41106441625124257,0.6964574456214905,0.13728457417487017
13,0.327412250669443,0.5062419176101685,0.12625971118220533
