hold,n,e_absmove,e_cost,oracle,e_signed
10,76976,1.3115282734920062,2.6170975137740546,-1.3055692402820485,0.21057861753555948
20,76959,1.6605387362070834,2.639957624670736,-0.9794188884636525,0.25650670899120337
30,76920,1.9005401766613452,2.539202397529547,-0.6386622208682018,0.19917251944427636
60,76801,2.632489151537469,2.5400775953418835,0.09241155619558539,0.20842306441668249
120,76568,3.651108159425113,2.439027386182117,1.2120807732429961,0.1541982268904582
300,75884,5.760135208268324,2.4637156559176874,3.296419552350637,0.12248298863641112
600,74661,8.119749951445122,2.550484848799283,5.56926510264584,0.0187788811289493
