hold_s,n_test,med_move,mean_move,med_cost,mean_cost,move_over_cost,break_even_hit,dir_roc,model_hit,model_ev,model_ci_lo,model_ci_hi,gate,gated_n,gated_hit,gated_ev,gated_ci_lo,gated_ci_hi,coinflip_ev,alwaysbuy_hit,alwaysbuy_ev
10.0,14219,0.4999995231628418,1.6451192155168088,1.5000001192092896,3.301726571843002,0.4982602828309051,1.503491583072226,0.6589212441251927,0.3515015120613264,-3.3879035287251433,-3.848094275781593,-2.9838037162037563,0.34,2129,0.3053076561766087,-1.9497416180874776,-2.2069000836103987,-1.7015656264068528,-3.3161263441091493,0.3456642520571067,-2.953330040707942
20.0,14217,0.9999990463256836,2.031286493756845,1.5000001192092896,3.241380062705502,0.6266733472968236,1.2978638347342626,0.6100047592038439,0.37138636843215866,-3.49232611631448,-3.807129675643474,-3.1870245966714146,0.34,907,0.3197353914002205,-1.3886437835182086,-1.6158648707095158,-1.1461257225284889,-3.28215520942343,0.3785608778223254,-2.829457712694012
30.0,14212,0.9999990463256836,2.292889810367515,1.5000001192092896,3.177135540489102,0.7216846058807228,1.1928234244234912,0.6040133483944274,0.41373487193920633,-3.2335913548389668,-3.526513061543294,-2.918830262511212,0.33,913,0.38663745892661555,-1.77152243034602,-2.3312721237972243,-1.371277225066326,-3.2461159954223935,0.3892485223754574,-2.8385800861281965
60.0,14192,1.5000000596046448,3.046247863203913,1.5000001192092896,3.1605446994700497,0.9638363487517511,1.0187602653163497,0.563440763148674,0.45744081172491546,-3.3578424622003396,-3.6778331764473458,-3.0400283665037144,0.31,414,0.4806763285024155,-2.6712560181456486,-3.613429748143168,-1.8926838298955193,-3.2799746727165604,0.42030721533258175,-2.828100338444878
120.0,14164,2.499997615814209,4.045859218433823,1.5000001192092896,3.04949522578173,1.3267307927647856,0.8768662058095793,0.5488948766769314,0.49865857102513417,-3.2543631653714082,-3.679940507415215,-2.8044016551679753,0.29,555,0.5045045045045045,-2.857117006585405,-3.5091405788594736,-2.26118001743619,-3.114960488364883,0.43914148545608583,-2.7915701955884056
300.0,14060,4.000002145767212,6.302876973810843,1.5000001192092896,3.1208001541140704,2.019634921352437,0.7475694962063628,0.5437983483513291,0.5251778093883357,-3.2880654280361417,-3.8649512825596863,-2.6718056363224894,0.23,1628,0.5626535626535627,-3.071375853279079,-4.264174269083613,-1.8746090084694929,-3.127724069145483,0.4519203413940256,-2.817532022977791
600.0,13840,6.000000238418579,8.445567221204465,1.5000001192092896,3.1926120286018755,2.6453471782799083,0.6890111075420794,0.5516481588307443,0.5473988439306359,-3.133583824446888,-3.6255533690700945,-2.6113607625260378,0.3,536,0.5783582089552238,-4.163992688685322,-6.034590259092778,-2.272045217444929,-3.204523154599538,0.44270231213872835,-3.3373844307594305
