lookback_s,n,coverage,accuracy,lo,hi
1,4668,0.6243145646649726,0.4852185089974293,0.470881096219543,0.4995559217753156
2,5333,0.7132539788685301,0.47196699793737107,0.45856848410826684,0.4853655117664753
5,6194,0.8284071151531363,0.4552793025508557,0.44287717015859823,0.46768143494311315
10,6745,0.902099772636084,0.4306893995552261,0.4188720026859755,0.4425067964244767
30,7218,0.9653604386786144,0.45525076198392905,0.4437620514056411,0.466739472562217
60,7328,0.9800722214792029,0.45305676855895194,0.441659237649736,0.46445429946816785
