slug,series,market_type,n_bottom,n_top,p_up_bottom,p_up_top,diff
mlb-cin-mil-2026-09-12,mlb-cin-mil-2026-09-12|spread|-1.5|80166085657012326124092769616182175396461022848837035793208049965229577828586,spread,83,79,0.5903614457831325,0.5189873417721519,0.07137410401098065
mlb-cin-mil-2026-09-12,mlb-cin-mil-2026-09-12|spread|-2.5|3140336197820665719384692224281979057046274997094045395768614671658460745041,spread,86,88,0.4883720930232558,0.5113636363636364,-0.02299154334038056
mlb-cin-mil-2026-09-12,mlb-cin-mil-2026-09-12|spread|-2.5|48166377858044330592150185571472923384410606913983496998118106725946149609406,spread,30,33,0.3333333333333333,0.5757575757575758,-0.2424242424242425
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|moneyline|None|85622791592271942250953122473427279669815910989431958325584121543910931654419,moneyline,35,46,0.6,0.43478260869565216,0.16521739130434782
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-1.5|102834738763332752749054716400067005145162273346288437501461289533946240215291,spread,65,100,0.6153846153846154,0.54,0.07538461538461538
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-1.5|2821702183094599465240948450658678148117333220681347049926815413133525631104,spread,79,89,0.46835443037974683,0.5056179775280899,-0.03726354714834307
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-2.5|20697234093161807982035439408957655536022603099708581834764632351038867704586,spread,67,103,0.5373134328358209,0.5436893203883495,-0.006375887552528603
mlb-cin-mil-2026-09-13,mlb-cin-mil-2026-09-13|spread|-2.5|59223170202977557080348255679910208007081553955951672208135878205752133082960,spread,74,87,0.5135135135135135,0.6666666666666666,-0.15315315315315314
mlb-cle-min-2026-09-11,mlb-cle-min-2026-09-11|moneyline|None|80274199636239788891835890975969652234057054368534865190027642520443788470558,moneyline,37,47,0.5135135135135135,0.48936170212765956,0.024151811385853927
mlb-cle-min-2026-09-11,mlb-cle-min-2026-09-11|spread|-1.5|24049074526157505051766365769540499683233567056367366315840557137074887438470,spread,86,69,0.47674418604651164,0.6086956521739131,-0.13195146612740144
mlb-cle-min-2026-09-11,mlb-cle-min-2026-09-11|spread|-1.5|34335425540608288213186036468853638755476435292903472323009410797556674595875,spread,78,99,0.5512820512820513,0.40404040404040403,0.1472416472416473
mlb-cle-min-2026-09-11,mlb-cle-min-2026-09-11|spread|-2.5|108181079939004101798674364278679191607555175696491951507286939997206428126619,spread,89,57,0.5168539325842697,0.38596491228070173,0.13088902030356797
mlb-cle-min-2026-09-11,mlb-cle-min-2026-09-11|spread|-2.5|357452056875882900157693871396272002439707303791129613606581283940299356113,spread,74,104,0.5540540540540541,0.5192307692307693,0.034823284823284784
mlb-cle-min-2026-09-12,mlb-cle-min-2026-09-12|moneyline|None|6289336226410365652877413735629040962049087619915279014676445860652869369756,moneyline,40,53,0.575,0.4339622641509434,0.14103773584905654
mlb-cle-min-2026-09-12,mlb-cle-min-2026-09-12|spread|-1.5|59022433045990183788458622445510929577947629191669697779344320641079895645265,spread,96,85,0.4583333333333333,0.49411764705882355,-0.035784313725490235
mlb-cle-min-2026-09-12,mlb-cle-min-2026-09-12|spread|-1.5|85843578651219513515374207163023395016213423063528824655192658778599370902246,spread,72,93,0.625,0.5376344086021505,0.0873655913978495
mlb-cle-min-2026-09-12,mlb-cle-min-2026-09-12|spread|-2.5|100398446399310321839803205469918740064004464583636302758310171308981285041458,spread,56,91,0.5357142857142857,0.5494505494505495,-0.013736263736263798
mlb-cle-min-2026-09-12,mlb-cle-min-2026-09-12|spread|-2.5|78768947611172580058997780885237059077903158235734010324343684478585978073202,spread,83,77,0.46987951807228917,0.5844155844155844,-0.11453606634329522
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|moneyline|None|60021460472480471088761563682409939039525439403703278298087857918524835379723,moneyline,28,34,0.6428571428571429,0.47058823529411764,0.17226890756302526
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-1.5|37662107999682795607774357482629710424340887751715878075412969347379728718001,spread,80,81,0.4625,0.5308641975308642,-0.0683641975308642
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-1.5|42579154678607469031654001753263534274663468042297042168195437628416272559772,spread,66,66,0.5303030303030303,0.5,0.030303030303030276
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-2.5|90416059083970112167662458618997769472400748627986844855349202514170820482300,spread,82,89,0.5487804878048781,0.47191011235955055,0.07687037544532754
mlb-cle-min-2026-09-13,mlb-cle-min-2026-09-13|spread|-2.5|98440548153995240923836319817612286203351229631739443017215197297624180581781,spread,44,56,0.5,0.5178571428571429,-0.017857142857142905
mlb-col-atl-2026-08-28,mlb-col-atl-2026-08-28|spread|-1.5|471611264657536589393837708393110708074260375618598187086932632578401911127,spread,71,90,0.49295774647887325,0.4222222222222222,0.07073552425665103
mlb-col-atl-2026-08-28,mlb-col-atl-2026-08-28|spread|-2.5|27220055289987460137520744731952837229698161306593760049587643602604686092446,spread,80,80,0.5625,0.45,0.11249999999999999
mlb-col-atl-2026-08-28,mlb-col-atl-2026-08-28|spread|-2.5|76960119806876279257497272779060544328434512508978800726281246668704945810156,spread,23,71,0.5217391304347826,0.5774647887323944,-0.05572565829761178
mlb-col-atl-2026-08-30,mlb-col-atl-2026-08-30|moneyline|nan|77455747630275931541716205668972717107125294759183967685077482362812344125796,moneyline,28,30,0.6071428571428571,0.3,0.3071428571428571
mlb-col-atl-2026-08-30,mlb-col-atl-2026-08-30|spread|-1.5|27506054137648943316600047056826516099128494687000365185805531324060847118206,spread,31,67,0.4838709677419355,0.417910447761194,0.06596051998074148
mlb-col-atl-2026-08-30,mlb-col-atl-2026-08-30|spread|-1.5|7771956136000109791520199447632286366971099081610314378785705270130827428999,spread,78,69,0.46153846153846156,0.5507246376811594,-0.08918617614269786
mlb-col-atl-2026-08-30,mlb-col-atl-2026-08-30|spread|-2.5|42762560564689308127221539314359137143368082252379794738514790300107602741035,spread,68,53,0.4117647058823529,0.49056603773584906,-0.07880133185349614
mlb-col-atl-2026-08-30,mlb-col-atl-2026-08-30|spread|-2.5|59814549004756555570777724662181334065058304490081372986750265066203716902688,spread,22,42,0.5909090909090909,0.6904761904761905,-0.09956709956709953
mlb-col-det-2026-09-11,mlb-col-det-2026-09-11|moneyline|None|114532502496137932693089688451118145455360814432114926570975463361514518351293,moneyline,30,32,0.7,0.3125,0.38749999999999996
mlb-col-det-2026-09-11,mlb-col-det-2026-09-11|spread|-1.5|108983951614020320528940043075462685910641443033882605059153509240753003025329,spread,53,51,0.6226415094339622,0.29411764705882354,0.3285238623751387
mlb-col-det-2026-09-11,mlb-col-det-2026-09-11|spread|-1.5|70673755498819185941251310721157523964184864036152143306486192610086407821739,spread,77,73,0.6103896103896104,0.547945205479452,0.062444404910158346
mlb-col-det-2026-09-11,mlb-col-det-2026-09-11|spread|-2.5|14272647840769939337389569085997194859958031816392507981061194540346248929400,spread,92,68,0.4782608695652174,0.6029411764705882,-0.1246803069053708
