feature,tau_s,median_jump,median_ctrl,cliffs_delta,n_jump,n_ctrl
spread_ticks,-30.0,2.9999996423721313,2.0000040531158447,0.013402692778457848,430,380
spread_ticks,-29.8,2.9999979734420776,2.0000040531158447,0.0113035495716034,430,380
spread_ticks,-29.6,2.999997138977051,2.0000011920928955,0.017533659730722073,430,380
spread_ticks,-29.4,2.999999761581421,2.0000011920928955,0.026334149326805445,430,380
spread_ticks,-29.2,3.000000238418579,2.0000011920928955,0.03387392900856789,430,380
spread_ticks,-29.0,3.000000238418579,2.0000011920928955,0.0458690330477356,430,380
spread_ticks,-28.8,2.9999988079071045,2.0000011920928955,0.04369645042839654,430,380
spread_ticks,-28.6,2.9999979734420776,2.0000011920928955,0.0415544675642594,430,380
spread_ticks,-28.4,2.999997138977051,2.00000262260437,0.033231334149326885,430,380
spread_ticks,-28.2,2.999997138977051,2.0000011920928955,0.02383720930232558,430,380
spread_ticks,-28.0,2.949998617172241,2.0000011920928955,0.016664626682986627,430,380
spread_ticks,-27.8,2.999997138977051,2.0000011920928955,0.02768665850673191,430,380
spread_ticks,-27.6,2.999997138977051,2.0000011920928955,0.02850061199510412,430,380
spread_ticks,-27.4,2.999997138977051,2.0000011920928955,0.035134638922888595,430,380
spread_ticks,-27.2,2.949998617172241,2.0000011920928955,0.040899632802937624,430,380
spread_ticks,-27.0,2.999997138977051,2.0000011920928955,0.04047735618115045,430,380
spread_ticks,-26.8,2.999997138977051,2.0000011920928955,0.03531211750305996,430,380
spread_ticks,-26.6,2.999997138977051,2.0000011920928955,0.03919216646266821,430,380
spread_ticks,-26.4,2.999997138977051,2.0000011920928955,0.040073439412484646,430,380
spread_ticks,-26.2,2.999997138977051,2.0000011920928955,0.04011015911872695,430,380
spread_ticks,-26.0,2.949998617172241,2.0000011920928955,0.04724602203182382,430,380
spread_ticks,-25.8,2.9000000953674316,2.0000011920928955,0.050403916768665846,430,380
spread_ticks,-25.6,2.5500012636184692,2.0000011920928955,0.0633108935128519,430,380
spread_ticks,-25.4,2.999997138977051,2.0000011920928955,0.06023867809057526,430,380
spread_ticks,-25.2,2.9999988079071045,2.0000011920928955,0.06101591187270494,430,380
spread_ticks,-25.0,2.999997138977051,2.0000011920928955,0.04424724602203178,430,380
spread_ticks,-24.8,2.9999979734420776,2.0000011920928955,0.05398408812729505,430,380
spread_ticks,-24.6,2.9999979734420776,2.0000011920928955,0.05289473684210533,430,380
spread_ticks,-24.4,2.999997138977051,2.0000011920928955,0.048457772337821226,430,380
spread_ticks,-24.2,2.9999988079071045,2.0000011920928955,0.05824969400244795,430,380
spread_ticks,-24.0,2.9999988079071045,2.0000011920928955,0.06679314565483474,430,380
spread_ticks,-23.8,2.999997138977051,2.0000011920928955,0.06984700122399023,430,380
spread_ticks,-23.6,2.9999988079071045,2.0000011920928955,0.0803059975520195,430,380
spread_ticks,-23.4,2.9999996423721313,2.0000011920928955,0.0777478580171358,430,380
spread_ticks,-23.2,2.9999988079071045,2.0000011920928955,0.08199510403916777,430,380
spread_ticks,-23.0,2.9999988079071045,2.0000011920928955,0.08854345165238686,430,380
spread_ticks,-22.8,2.999999165534973,2.0000011920928955,0.09225826193390452,430,380
spread_ticks,-22.6,2.999999523162842,2.0000011920928955,0.09359853121175021,430,380
spread_ticks,-22.4,3.000000238418579,2.0000011920928955,0.11856181150550804,430,380
spread_ticks,-22.2,3.000000238418579,2.0000011920928955,0.1197552019583843,430,380
spread_ticks,-22.0,3.000000238418579,2.0000011920928955,0.12623623011015916,430,380
spread_ticks,-21.8,3.000000238418579,2.0000011920928955,0.1250734394124846,430,380
spread_ticks,-21.6,3.000000238418579,2.0000011920928955,0.12769889840881277,430,380
spread_ticks,-21.4,3.000000238418579,2.0000011920928955,0.13236230110159108,430,380
spread_ticks,-21.2,3.000000238418579,2.000000834465027,0.14149326805385565,430,380
spread_ticks,-21.0,3.000000238418579,2.0000011920928955,0.14201958384332936,430,380
