session,slug,marks,contracts,ticks,pnl_usd
books_2026-09-10,mlb-col-nyy-2026-09-10,8,4,9.003994904875796,4.021453358340064
books_2026-09-12,mlb-cin-mil-2026-09-12,8,3,8.754430630017525,9.999372162239391
books_2026-09-13,mlb-bal-tor-2026-09-13,7,5,8.656005416870132,2.722666238938151
books_2026-09-10,mlb-hou-phi-2026-09-10,11,6,8.615501277595774,3.5932344043884923
books_2026-09-19,mlb-sf-lad-2026-09-19,3,3,8.3560075081587,1.1268817396742685
books_2026-09-18,mlb-sf-lad-2026-09-18,6,4,8.038508566796787,3.071055002727716
books_2026-09-20,mlb-min-laa-2026-09-20,7,5,7.952005202889478,1.8733443333212438
books_2026-09-19,mlb-oak-cle-2026-09-19,2,2,7.634502517133954,1.5170391061310013
books_2026-09-13,mlb-cle-min-2026-09-13,4,2,6.965673489894895,1.0208291648377283
books_2026-09-12,mlb-pit-chc-2026-09-12,3,2,6.848002966403966,2.2441859654227367
books_2026-08-30,mlb-phi-laa-2026-08-30,2,2,6.5340045164525575,1.3421546670676912
books_2026-09-18,mlb-nyy-ari-2026-09-18,8,2,6.194903494037436,3.05331166947124
books_2026-09-19,mlb-phi-nym-2026-09-19,8,2,6.17949626973274,6.725393658001959
books_2026-09-13,mlb-col-det-2026-09-13,3,3,5.997507072657358,0.9980493724674782
books_2026-09-12,mlb-cle-min-2026-09-12,7,5,5.70700677639247,2.128170555833226
books_2026-09-20,mlb-det-cws-2026-09-20,4,3,5.586206027789119,4.295085045875737
books_2026-09-10,mlb-tb-atl-2026-09-10,3,2,5.571178629417423,5.9742231628203655
books_2026-09-12,mlb-col-det-2026-09-12,3,2,5.366995623648178,1.142155066879424
books_2026-09-12,mlb-phi-atl-2026-09-12,2,2,5.212994729638116,1.2465750408121485
books_2026-09-17,mlb-sd-col-2026-09-17,6,3,5.129509747654245,0.9452225473675498
books_2026-09-11,mlb-hou-tb-2026-09-11,3,1,4.676001724243176,1.1513738171033632
books_2026-09-17,mlb-kc-hou-2026-09-17,7,3,4.636224452540952,12.24619641605056
books_2026-09-12,mlb-sea-oak-2026-09-12,6,2,4.619012453436895,0.6334924982402526
books_2026-09-18,mlb-phi-nym-2026-09-18,5,3,4.343629512846471,3.8755870446981797
books_2026-09-13,mlb-cws-stl-2026-09-13,3,2,4.307499079078461,1.020154193748983
books_2026-09-11,mlb-col-det-2026-09-11,3,3,4.154998990535742,0.9383643133875461
books_2026-09-12,mlb-lad-mia-2026-09-12,5,3,4.152605646007982,5.553075686054701
books_2026-09-19,mlb-bos-tb-2026-09-19,2,2,3.394002633750448,0.9986858546342143
books_2026-09-11,mlb-pit-chc-2026-09-11,3,2,3.2315006425678794,1.3857798839278097
books_2026-08-30,mlb-hou-nym-2026-08-30,5,3,2.838981997907214,0.5616416803483572
books_2026-08-28,mlb-bos-nyy-2026-08-28,3,3,2.5579930351078692,1.3149126616328188
books_2026-09-20,mlb-chc-cin-2026-09-20,4,2,2.2154934616089057,0.27972692622950074
books_2026-09-19,mlb-tor-tex-2026-09-19,3,1,1.7379493738055258,4.167378479470786
books_2026-09-12,mlb-nym-nyy-2026-09-12,3,1,1.656001864433309,0.1842846085219057
books_2026-09-20,mlb-sea-col-2026-09-20,4,1,1.565511007070558,0.21582785580152158
books_2026-09-13,mlb-lad-mia-2026-09-13,4,1,1.3665131113529403,0.15545547299686047
books_2026-09-19,mlb-sea-col-2026-09-19,3,2,1.333497588217268,0.4273292732924223
books_2026-09-20,mlb-sf-lad-2026-09-20,2,1,0.8289984864592573,0.5566067120672769
books_2026-09-10,mlb-pit-cws-2026-09-10,1,1,0.8085001089572905,0.12250001717245951
books_2026-09-20,mlb-mia-sd-2026-09-20,1,1,0.6569994456768062,0.4379995904207622
books_2026-09-13,mlb-nym-nyy-2026-09-13,1,1,0.3925004952251918,0.6541675050391271
books_2026-09-12,mlb-kc-bos-2026-09-12,1,1,0.14050008305907347,0.1561111966787272
