top_frac,n,precision,oracle_exit_at_peak,T5s,T5s_lo,T5s_hi,T10s,T10s_lo,T10s_hi,T20s,T20s_lo,T20s_hi,T30s,T30s_lo,T30s_hi,T60s,T60s_lo,T60s_hi,T120s,T120s_lo,T120s_hi,T300s,T300s_lo,T300s_hi
0.001,36,0.2777777777777778,-0.8831523964346504,-1.7543250989369115,-1.9826443076552038,-1.5081024575799735,-0.8783711520358313,-1.2692187607774272,-0.5436700203823412,1.2850308568514868,0.19568890824534563,2.626674101862885,1.170254392884945,0.14946416053437372,2.3959100786303904,1.0871107397384878,-0.06018385751208852,2.4846299390948468,1.6059589284940936,0.5041522853194205,3.021763968685307,1.228816192545446,-0.6983050110716043,2.7128480417460796
0.002,73,0.3424657534246575,-0.7421295153926245,-2.064339962669245,-2.3463287173412755,-1.8377059326569032,-0.7523931711555909,-1.0074868449943901,-0.5381016015774094,1.9043692147086129,0.38776652546674767,3.8108404258669952,2.038017239070866,0.6428534569275453,3.8018646005915286,1.7377247382798393,0.3398388600444854,3.532070444745857,1.8952342249382896,0.5652210815061725,3.570803046922258,1.0978793916027778,-0.4207218983669935,2.526141182439961
0.005,182,0.21428571428571427,-1.3494350641453492,-2.6471765210017724,-2.975225627316569,-2.3770758847564113,-1.3523045473558233,-1.6183313443685232,-1.120412001165682,0.4351444112967328,-0.39462369702835437,1.3273690952942017,0.5063959494438606,-0.3466445218574411,1.4158607220280353,0.03050936739163451,-0.8647151083627969,0.9148184229334746,-0.20586035430171296,-1.2564074118934419,0.9053350466908344,-0.2185638396358769,-1.5819216811685441,1.267183060925771
0.01,365,0.1589041095890411,-1.6981165951488562,-3.1117346929157845,-3.3848988592503786,-2.8543044891380496,-1.7654545842541607,-2.0493309072356958,-1.512211626290102,-0.5142622732939712,-1.1017576442733623,0.0679700608021317,-0.30401510599084647,-0.8528631547109272,0.24273035002184631,-0.632819484511107,-1.179513494317399,-0.12791248813435918,-0.6457130483144604,-1.191707065130895,-0.04916823170002097,-1.2862080735718162,-2.2381217209682713,-0.29896464864366057
0.02,729,0.13580246913580246,-2.1999873915194037,-3.5066126028670537,-3.8269921043262713,-3.2141567530200628,-2.265191417408002,-2.6568034854860114,-1.8948241002547097,-1.145750411920821,-1.6168530448278053,-0.6835862193293077,-0.986565968079221,-1.5519822406630346,-0.45532389838147624,-1.1164349492876267,-1.7615983276879628,-0.4713859977050404,-1.152306980829603,-1.8778942514845254,-0.4075251750839645,-1.15096901620992,-1.955198938306286,-0.340531026365699
0.05,1823,0.07405375754251234,-4.166297188348412,-4.926724629633337,-5.401177949772728,-4.538860492499389,-4.193453893015119,-4.488566482976283,-3.8654556643566256,-3.316923008883123,-3.7750780356709863,-2.877396609313017,-3.2379722458591145,-3.7976506099765506,-2.7522969559149186,-3.049011069168051,-3.551259875828057,-2.5787637460490855,-2.8350612005030587,-3.4478982748567066,-2.216034095377763,-2.911858605739754,-3.6636471474093315,-2.205911877089984
1.0,36451,0.005953197443142849,-10.256022658426383,-10.27013837889778,-10.799739660154403,-9.775894002619168,-9.592046776009882,-10.040524436491559,-9.177042336413963,-10.875197338476728,-11.360330921392956,-10.425051767358907,-10.295726947312847,-10.804472799025437,-9.80583553968366,-10.084886730309528,-10.550628885098133,-9.6408935258636,-9.694799066563615,-10.155461579903212,-9.251865280515736,-9.660330446926856,-10.124174429846027,-9.20733652096572
