session,size,sum
books_2026-08-28,322,241.3567700216143
books_2026-08-30,120,128.95371152616127
books_2026-09-10,73,35.56899225475297
books_2026-09-11,207,197.413695675582
books_2026-09-12,176,115.52693876847815
books_2026-09-13,191,104.49790268432595
books_2026-09-17,177,169.15165659210226
books_2026-09-18,268,153.91733184183755
books_2026-09-19,168,192.3328714529882
books_2026-09-20,104,144.0323732511107
