population,n,base_rate,mean_payer_ticks,mean_non_payer_ticks,precision_needed
all jumps,143176,0.01032295915516567,2.514929290301404,-8.803919776666158,0.7778105109961343
price-driven jumps,6161,0.1392631066385327,2.7920012932250278,-5.605787052367567,0.667531357266184
