market_type,n,peak_spread,move,cost,fee,ev_before_fee,ev_after_fee,pays_before_fee,pays_after_fee
moneyline,4395,5.2150855434225685,3.24637140843496,3.0994995427840264,1.9563842667032008,0.1468718656509335,-1.8095124010522672,0.5440273037542662,0.12514220705346984
spread,9195,24.499304549806855,8.651587980920413,12.748010077601771,1.9812215713359351,-4.0964220966813585,-6.077643668017293,0.07145187601957585,0.0121805328983143
total,8944,18.4652621724138,6.622596379983437,9.731921117352522,2.149966533785903,-3.1093247373690844,-5.2592912711549875,0.08508497316636851,0.009727191413237924
