top_frac,n,precision,oracle_direction,always_long,always_short,coin_flip,mean_abs_move,mean_cost_plus_fee,perfect_direction_ev,accuracy_needed
0.001,36,0.2777777777777778,1.1702544829127939,-2.1964123374014015,-1.8103020514834836,-2.0096196837960596,3.5625007384353213,2.0033571944424424,1.559143543992879,0.7811728812893289
0.005,182,0.21428571428571427,0.50639604224862,-2.932615416918567,-2.250747577702691,-2.586086440662519,3.5376381625185958,2.591681497310629,0.9459566652079667,0.8663010995258911
0.01,365,0.1589041095890411,-0.30401502150330373,-3.2845634333559968,-2.769220952513615,-3.0306510962269133,3.421507473351204,3.026892192934806,0.39461528041639804,0.9423331260431398
0.02,728,0.13598901098901098,-0.9865658919461593,-4.19563213359826,-3.4261267264692448,-3.814345021526887,3.8682696712868556,3.8108794300337525,0.0573902412531031,0.9925819234270176
