case,n_jumps,mean_gross,mean_cost,mean_fee,mean_pnl,median_pnl,n_profitable,share_profitable,ticks_if_only_winners
"exit at the peak, no fee",82120,7.992643220465258,14.147108865311143,0.0,-6.154465644845886,-4.000006377696991,4999,0.06087433024841695,6534.903334047645
"exit at the peak, with fee",82120,7.992643220465258,14.147108865311143,1.8258268738141763,-7.980292518660063,-6.27899896419048,935,0.011385776911836338,2229.6118137131193
"exit 3s after the peak, no fee",82120,6.38831176280808,11.787215974856272,0.0,-5.398904212048192,-4.000000238418579,7399,0.09009985387238188,13002.40410368517
"exit 3s after the peak, with fee",82120,6.38831176280808,11.787215974856272,1.813625648394061,-7.2125298604422525,-5.821750418961048,2009,0.024464198733560642,5237.562986923909
"omniscient exit <=300s, no fee",82120,7.992643220465258,14.147108865311143,0.0,2.330935387058205,1.0000011920928955,49512,0.6029225523623964,306731.2166397404
"omniscient exit <=300s, with fee",82120,7.992643220465258,14.147108865311143,1.7422121245151385,0.5887232625430661,-0.4919974880218483,35984,0.43818801753531417,226230.10020782193
