entries,n,ev_peak_exit,ev_best_exit_nofee,ev_best_exit,median_best_exit,share_profitable_best,mean_best_exit_wait_s
jump entry,82120,-7.980292518660063,2.330935387058205,0.5887232625430661,-0.4919974880218483,0.43818801753531417,168.20616415002434
random entry,82120,-5.504229439738443,2.6273821068235956,1.0364748616845185,-0.16374920859932884,0.4784339990258159,174.36031417437897
