session,slug,market_type,series,ts,ts_peak,lead_to_peak_s,entry_mid,peak_mid,entry_spread,peak_spread,gross_peak,cost_peak,fee_peak,net
books_2026-08-30,mlb-mia-wsh-2026-08-30,total,mlb-mia-wsh-2026-08-30|total|7.5|24066227189170748322799835471456958883786479790422801266100245751304284948709,1788116142600,1788116152200,9.6,0.1899999976158142,0.9794999957084656,8.0,3.900003433227539,78.94999980926514,5.9500017166137695,0.8698987631869316,72.13009932946443
books_2026-09-11,mlb-laa-wsh-2026-09-11,total,mlb-laa-wsh-2026-09-11|total|8.5|92470250397608045922649766216203281003308212282589293173665571735546229875529,1789176717600,1789176721400,3.8,0.05999999865889549,0.7059999704360962,10.0,5.19999885559082,64.59999717772007,7.59999942779541,1.319820055000778,55.680177694923884
books_2026-08-30,mlb-sd-tb-2026-08-30,moneyline,mlb-sd-tb-2026-08-30|moneyline|nan|27908995320484703437757442267653693370628497092214175083166752177685505408439,1788123166800,1788123175000,8.2,0.7910000085830688,0.32999998331069946,1.1999964714050293,16.0,46.10000252723694,8.599998235702515,1.932094946651457,35.56790934488296
books_2026-08-28,mlb-bal-oak-2026-08-28,spread,mlb-bal-oak-2026-08-28|spread|-1.5|24186019174945648076579279961903774394501176441656977848872735584311354018371,1787978121000,1787978127800,6.8,0.8650000095367432,0.2149999886751175,23.000001907348633,35.0,65.00000208616257,29.000000953674316,1.4277499329149712,34.57225119957328
books_2026-08-30,mlb-cin-chc-2026-08-30,spread,mlb-cin-chc-2026-08-30|spread|-2.5|76017768987780378917021457012395326284456736306029507673460313048955924261997,1788138625400,1788138635400,10.0,0.08500000089406967,0.4749999940395355,6.999999523162842,8.99999713897705,38.999999314546585,7.999998331069946,1.6357500022202727,29.364250981256365
books_2026-09-11,mlb-tex-ari-2026-09-11,total,mlb-tex-ari-2026-09-11|total|9.5|37476800434598840896041413986254556573607139416433934874760924589941751357065,1789185153200,1789185163200,10.0,0.47999998927116394,0.8199999928474426,7.999998569488525,3.9999961853027344,34.00000035762787,5.99999737739563,1.986000020742416,26.014002959489822
books_2026-08-28,mlb-phi-laa-2026-08-28,moneyline,mlb-phi-laa-2026-08-28|moneyline|None|51861653197188885457754544253395521359876617403376889019857984610677824274079,1787976831000,1787976841000,10.0,0.16499999165534973,0.4750000238418579,1.0000005960464478,13.00000286102295,31.000003218650818,7.0000017285346985,1.9357499780058829,22.064251512110236
books_2026-09-13,mlb-sea-oak-2026-09-13,moneyline,mlb-sea-oak-2026-09-13|moneyline|None|98694063005008440164371863715318245513624038106507182454626923949324166523795,1789342216600,1789342225000,8.4,0.3149999976158142,0.02499999850988388,11.000001907348633,1.0,28.999999910593033,6.000000953674316,1.2007499885112047,21.79924896840751
books_2026-09-12,mlb-laa-wsh-2026-09-12,moneyline,mlb-laa-wsh-2026-09-12|moneyline|None|40792841770362354623148102658436042620717926349486454752253698545015107663034,1789251964400,1789251974400,10.0,0.23250000178813934,0.5,1.1000007390975952,8.000001907348633,26.749999821186066,4.550001323223114,2.142218754783273,20.05777974317968
books_2026-08-30,mlb-mia-wsh-2026-08-30,moneyline,mlb-mia-wsh-2026-08-30|moneyline|nan|69426543764461627347858130646460967274912161156304358439086966495097652022629,1788114492400,1788114498400,6.0,0.33500000834465027,0.11499999463558197,0.9999990463256836,0.9999998211860657,22.00000137090683,0.9999994337558746,1.622749993115663,19.377251944035294
books_2026-08-28,mlb-ari-sf-2026-08-28,spread,mlb-ari-sf-2026-08-28|spread|-1.5|49600863144501565067348508358932718743737731717214171685269974803693175522512,1787973713400,1787973722800,9.4,0.7549999952316284,0.5149999856948853,0.9999990463256836,5.000001430511475,24.000000953674316,3.000000238418579,2.1737500143051136,18.826250700950624
books_2026-09-11,mlb-kc-bos-2026-09-11,moneyline,mlb-kc-bos-2026-09-11|moneyline|None|30405502466268309215684803501213130157972453130129494566675040477304802989422,1789176774000,1789176779000,5.0,0.4599999785423279,0.75,11.999998092651367,10.00000286102295,29.000002145767212,11.000000476837158,2.179499991416929,15.820501677513125
books_2026-08-28,mlb-tex-mil-2026-08-28,spread,mlb-tex-mil-2026-08-28|spread|-2.5|27550175098312578333159114880947506484353686657011751536097017775903810160996,1787967495000,1787967505000,10.0,0.44999998807907104,0.7100000381469727,8.000001907348633,7.999998569488525,26.00000500679016,8.000000238418579,2.2669999139308854,15.733004854440697
books_2026-09-12,mlb-lad-mia-2026-09-12,moneyline,mlb-lad-mia-2026-09-12|moneyline|None|89254313729353657865448740606800371484028707376712453212148059579290368635237,1789246340000,1789246344400,4.4,0.699999988079071,0.5,1.9999980926513672,1.9999980926513672,19.999998807907104,1.9999980926513672,2.300000023841857,15.70000069141388
books_2026-08-28,mlb-cws-min-2026-08-28,spread,mlb-cws-min-2026-08-28|spread|-1.5|56563668415241685780605945190640795819512780773196825519593449349854500429903,1787962858800,1787962868200,9.4,0.4099999964237213,0.6700000166893005,1.9999980926513672,13.999999046325684,26.000002026557922,7.999998569488525,2.314999968409537,15.68500348865986
books_2026-09-12,mlb-bal-tor-2026-09-12,spread,mlb-bal-tor-2026-09-12|spread|-2.5|115404643608623580301642444931390760357845560743075116078322949686761347158497,1789242829000,1789242839000,10.0,0.2800000011920929,0.6949999928474426,46.0,2.999997138977051,41.49999916553497,24.499998569488525,2.067875016570091,14.932125579476356
