cause,n,share,median_move,median_entry_spread,median_d_spread,n_pays,pay_rate
price,6161,0.043030954908643906,3.0000001192092896,3.000000238418579,0.0,858,0.1392631066385327
spread,137015,0.956969045091356,5.500000715255737,7.000002384185791,4.999998331069943,620,0.004525052001605663
