feature,attention_weight
d_log_ask_depth,3.0752144
l1_ask_usd,2.3111038
imbalance_l1,2.1902735
rv_5,2.0472581
ask_dist_2,1.7994595
bid_usd_2,1.5055667
log_bid_usd_within_2t,1.4901223
ask_usd_9,1.4758651
d_spread_ticks,1.4394487
d_log_total_depth,1.4166023
d_mid,1.3908502
bid_dist_4,1.3494143
bid_dist_5,1.3295813
ask_dist_4,1.2934923
ask_dist_1,1.2336999
bid_usd_1,1.2102951
bid_usd_4,1.20928
ask_dist_3,1.1673077
ask_usd_2,1.1422495
ask_dist_5,1.0916054
bid_usd_9,1.0526532
rv_15,1.0494666
bid_usd_7,1.0447614
bid_dist_2,1.0381697
bid_gap_1,1.0323406
d_imbalance,1.0143236
ask_usd_1,0.9439486
d_log_bid_depth,0.9196581
levels_ask,0.9105227
bid_gap_3,0.9080699
ask_gap_1,0.9041244
ask_usd_5,0.8977613
ask_usd_4,0.87067366
entropy_bid,0.8476427
spread_ticks,0.83837986
log_bid_depth,0.83670765
bid_usd_6,0.83527946
near_frac_ask_2t,0.8268404
bid_usd_8,0.8134427
ask_usd_3,0.81176764
bid_usd_5,0.80896866
slope_bid,0.8077967
bid_usd_10,0.79761714
bid_gap_2,0.7765319
hhi_bid,0.7739043
ask_usd_10,0.7692806
bid_dist_1,0.7603375
log_ask_depth,0.7589565
entropy_ask,0.7489465
ask_gap_2,0.72996247
reach_ask,0.7198867
hhi_ask,0.7013503
bid_dist_3,0.69795907
ask_usd_6,0.67475563
reach_bid,0.6659694
log_ask_usd_within_2t,0.66159046
l1_bid_usd,0.65817535
bid_usd_3,0.6502077
ask_usd_8,0.64688104
tod_cos,0.6442795
imbalance,0.63955575
ask_gap_3,0.6368563
log_total_depth,0.57319885
slope_ask,0.56238586
ask_usd_7,0.52107733
mid,0.5162001
levels_bid,0.5139829
tod_sin,0.5090832
near_frac_bid_2t,0.509076
