model,threshold,precision,recall,f1,pr_auc,roc_auc,accuracy,balanced_accuracy,tp,fp,fn,tn,jumps_caught,jumps_missed,fp_per_hour,fp_per_day,predicted_jump_freq,actual_jump_freq,pr_auc_lift,n_params,pr_auc_ci_lo,pr_auc_ci_hi
0 prevalence,0.5,0.0,0.0,0.0,0.045312123403229695,0.5,0.9546878765967703,0.5,0,0,188,3961,0,188,0.0,0.0,0.0,0.045312123403229695,1.0,,,
1 time-of-day only,0.5072252750396729,0.008733624454148471,0.010638297872340425,0.009592326139088727,0.04264278221092904,0.4785132434856876,0.9004579416726922,0.47666476872915176,2,227,186,3734,2,186,3.2827187274041933,227.0,0.0551940226560617,0.045312123403229695,0.9410899116656627,,,
2 logistic (snapshot),0.7581796625597141,0.12790697674418605,0.2925531914893617,0.1779935275080906,0.11374447847434405,0.6935023392975125,0.8775608580380815,0.5989400645656856,55,375,133,3586,55,133,5.422993492407809,375.0,0.10363943118823812,0.045312123403229695,2.5102438361173056,,,
8 CNN-LSTM-Attention,0.8953365343979427,0.3063063063063063,0.18085106382978725,0.2274247491638796,0.16704928984277143,0.6795726417678751,0.9443239334779465,0.5807057641794733,34,77,154,3884,34,154,1.11352133044107,77.0,0.02675343456254519,0.045312123403229695,3.6866356572215886,29388.0,,
